id,hindi,santali
15,"हम अमेरिकाओसी के बयान से सहमत हैं कि हमारे खिलाड़ियों और क्लब के शौक, और उनके खेल, हमारे संगठन के भीतर अर्थपूर्ण परिवर्तन के साथ आगे बढ़ने के द्वारा बेहतर सेवा की जा सकती है, नहीं.","ᱟᱞᱮ ᱭᱩ.ᱮᱥ.ᱳ.ᱥᱤ ᱦᱟᱜ ᱨᱚᱲ ᱞᱮ ᱵᱟᱛᱟᱣᱮᱫᱟ ᱡᱟᱦᱟᱸ ᱫᱚ ᱟᱞᱮᱨᱤᱱ ᱠᱷᱮᱞᱚᱸᱰᱤᱭᱟᱹ ᱟᱨ ᱜᱟᱶᱛᱟ ᱠᱚ, ᱟᱨ ᱟᱠᱚᱣᱟᱜ ᱠᱷᱮᱞ, ᱜᱚᱱᱚᱴᱷᱚᱱ ᱨᱮ ᱜᱩᱱᱢᱟᱱᱟᱣ ᱵᱚᱫᱚᱞ ᱟᱛᱮ ᱟᱠᱚ ᱢᱟᱬᱟᱝ ᱥᱮᱱ ᱞᱟᱦᱟ ᱞᱟᱹᱠᱛᱤ ᱠᱟᱱᱟ, ᱟᱨ ᱵᱟᱝ ᱫᱚ ᱰᱮᱥᱟᱨᱴᱤᱯᱷᱤᱠᱮᱥᱚᱱ ᱞᱮᱠᱟᱛᱮI"
16,यू. एस. ए.) के बचनेवालों ने इतने लंबे अरसे तक और किसी भी ज़रूरी और उचित परिवर्तनों को स्वीकार नहीं किया ।,USA ᱡᱤᱢᱱᱟᱥᱴᱤᱠ ᱢᱤᱫ ᱵᱷᱮᱜᱟᱨ ᱤᱱᱵᱷᱮᱥᱴᱤᱜᱮᱥᱚᱱᱮ ᱥᱟᱯᱚᱴᱮᱫᱟ ᱡᱟᱦᱟᱸ ᱞᱟᱨᱤ ᱱᱟᱥᱟᱨᱤᱱ ᱵᱟᱧᱪᱟᱣ ᱟᱠᱟᱱ ᱦᱚᱲ ᱠᱚ ᱞᱟᱹᱭ ᱞᱮᱠᱟᱛᱮ ᱱᱤᱛ ᱵᱷᱩᱨ ᱵᱟᱝ ᱴᱷᱤᱠᱟᱹ ᱞᱮᱱᱟ ᱟᱨ ᱚᱱᱟᱨᱮ ᱵᱚᱫᱚᱞᱚᱜ ᱠᱷᱚᱡᱚᱜ ᱠᱟᱱᱟ᱾
17,यू. एस. ए. ए.,"USA ᱡᱤᱢᱱᱟᱥᱴᱤᱠ ᱟᱨ USOC-ᱟᱜ ᱡᱚᱥ ᱫᱚ ᱢᱤᱫ ᱜᱮᱭᱟ — ᱡᱤᱢᱱᱟᱥᱴᱤᱠ ᱟᱨ ᱮᱴᱟᱜ ᱠᱷᱮᱞ ᱠᱚ ᱠᱷᱮᱞᱚᱸᱰᱤᱭᱟᱹ ᱠᱚ ᱞᱟᱹᱜᱤᱫ ᱱᱤᱨᱟᱯᱚᱫᱽ ᱵᱮᱱᱟᱣ ᱡᱮᱢᱚᱱ ᱠᱷᱮᱞᱚᱸᱰᱤᱭᱟᱹ ᱠᱚ ᱟᱠᱚᱣᱟᱜ ᱠᱩᱠᱢᱩ ᱱᱤᱨᱟᱯᱚᱫᱽ, ᱯᱚᱡᱮᱴᱤᱵᱽ ᱟᱨ ᱮᱢᱯᱟᱣᱟᱨᱰ ᱥᱟᱪᱟᱨᱦᱮ ᱛᱮᱠᱚ ᱯᱟᱸᱡᱟ ᱫᱟᱲᱮᱭᱟᱜ-ᱟ᱾"
18,"सन्‌ 1960 से लेकर सन्‌ 1960 के दौरान, बीज़ेजीस्की ने जॉन एफ.","᱑᱙᱖᱐ ᱦᱟᱹᱵᱤᱡ, ᱵᱨᱡᱮᱡᱤᱱᱥᱠᱤ ᱫᱚ ᱡᱚᱱ ᱮᱯᱷ. ᱠᱮᱱᱮᱰᱤ-ᱤᱡ ᱟᱰᱵᱷᱟᱭᱡᱚᱨ ᱞᱮᱠᱟᱛᱮ ᱠᱟᱹᱢᱤ ᱞᱮᱜ-ᱟᱭ ᱚᱱᱟ ᱛᱟᱭᱚᱢ ᱫᱚ ᱞᱤᱱᱰᱚᱱ ᱵᱤ. ᱡᱚᱱᱥᱚᱱ ᱟᱰᱢᱤᱱᱤᱥᱴᱨᱮᱥᱚᱱ᱾"
19,सन्‌ 1976 में उसने विदेशी नीति पर कार्टर को सलाह दी ।,"᱑᱙᱗᱖ ᱨᱮᱭᱟᱜ ᱵᱟᱪᱷᱱᱟᱣ ᱚᱠᱛᱚᱨᱮ ᱩᱱᱤ ᱯᱷᱚᱨᱮᱱ ᱯᱚᱞᱤᱥᱤ ᱵᱟᱲᱮᱛᱮ ᱠᱟᱨᱴᱚᱨ ᱟᱰᱵᱷᱟᱭᱤᱥ ᱮᱢᱟᱫᱮ ᱛᱟᱦᱮᱸᱫ, ᱚᱱᱟ ᱯᱚᱨ ᱑᱙᱗᱗ ᱠᱷᱚᱱ ᱑᱙᱘᱑ ᱦᱟᱹᱵᱤᱡ ᱱᱮᱥᱱᱟᱞ ᱥᱤᱠᱭᱩᱨᱤᱴᱤ ᱚᱯᱷ ᱟᱰᱵᱷᱟᱭᱡᱚᱨ (ᱮᱱ.ᱮᱥ.ᱮ.), ᱞᱮᱠᱟᱛᱮ ᱦᱮᱱᱨᱤ ᱠᱤᱥᱤᱝᱜᱚᱨᱮ ᱥᱚᱯᱷᱚᱲ ᱞᱮᱫᱮᱭᱟ᱾"
20,"NAS के रूप में, उन्होंने कैम्प डेविड पोस्टर, 1978; सामान्य रूप से अमेरिका के संबंध में १९७० के दशक के आखिर में सोचा; ईरानी क्रांति, जो ईरानी बंधक संकट, 1979, और सोवियत हमले की ओर ले गया.","ᱮᱱ.ᱮᱥ.ᱮ. ᱞᱮᱠᱟᱛᱮ, ᱩᱱᱤ ᱡᱮᱜᱮᱛᱟᱹᱨᱤ ᱟᱯᱷᱮᱭᱟᱨᱥ ᱵᱟᱨᱮᱛᱮ ᱠᱟᱨᱚᱨᱮ ᱟᱥᱤᱥᱴ ᱞᱮᱫᱮᱭᱟ, ᱡᱮᱢᱚᱱ ᱠᱮᱸᱯ ᱰᱮᱵᱷᱤᱰ ᱟᱠᱚᱨᱰ, ᱑᱙᱗᱘; ᱭᱩ.ᱮᱥ. ᱟᱨ ᱪᱟᱭᱱᱟ-ᱟᱜ ᱥᱟᱹᱜᱟᱹᱭᱮ ᱱᱚᱨᱢᱟᱞᱟᱭᱤᱡᱽ ᱠᱮᱜ-ᱟ ᱑᱙᱗᱐ ᱢᱩᱪᱟᱹᱫ ᱥᱮᱱᱨᱮ; ᱤᱨᱟᱱᱤᱭᱟ ᱨᱤᱵᱷᱚᱞᱭᱩᱥᱚᱱ, ᱡᱟᱦᱟᱸ ᱤᱨᱟᱱ ᱦᱚᱥᱴᱮᱡᱽ ᱮᱴᱠᱮᱴᱚᱬᱮ ᱛᱮ ᱟᱹᱜᱩ ᱞᱮᱫ ᱠᱚᱣᱟᱭ, ᱑᱙᱗᱙; ᱟᱨ ᱟᱯᱷᱜᱷᱟᱱᱤᱥᱛᱟ ᱨᱮ ᱥᱳᱵᱷᱤᱭᱮᱛ ᱤᱱᱵᱷᱟᱡᱚᱱ, ᱑᱙᱗᱙᱾"
21,उस फिल्म में रायन गोलिंग और एमास स्टोन दिखाया गया था ।,"ᱚᱱᱟ ᱯᱷᱤᱞᱤᱢ, ᱡᱟᱸᱦᱟᱸ ᱫᱚ ᱨᱭᱟᱱ ᱜᱳᱥᱞᱤᱝ ᱟᱨ ᱮᱢᱟ ᱥᱴᱚᱱ ᱠᱤᱱ ᱠᱚᱨᱟᱣ ᱞᱮᱫᱟ, ᱚᱱᱟ ᱥᱟᱱᱟᱢ ᱢᱟᱨᱟᱝ ᱠᱟᱴᱮᱜᱳᱨᱤ ᱨᱮᱭᱟᱜ ᱵᱟᱪᱷᱚᱱ ᱨᱮ ᱴᱷᱟᱶᱮ ᱧᱟᱢ ᱟᱠᱟᱫ-ᱟ᱾"
22,"लेकिन, सा. यु. पू.",ᱜᱳᱥᱞᱤᱝ ᱟᱨ ᱥᱴᱚᱱ ᱫᱚ ᱱᱟᱯᱟᱭ ᱟᱠᱴᱚᱨ ᱟᱨ ᱱᱟᱯᱟᱭ ᱟᱠᱴᱨᱮᱥ ᱞᱟᱹᱜᱤᱫ ᱠᱚ ᱵᱟᱪᱷᱚᱱ ᱠᱮᱫ ᱠᱤᱱᱟ᱾
23,"अन्य नवीकरणों में उत्तम चित्र, प्रत्यक्ष चित्र, सुधारी, रंगीन डिज़ाइन, मूल अंक, उत्पाद संपादन, ध्वनि संपादन, ध्वनि कौशल और मूल स्क्रीन खेल शामिल हैं.","ᱮᱴᱟᱜ ᱵᱟᱪᱷᱚᱱ ᱠᱚᱫᱚ ᱱᱟᱯᱟᱭ ᱯᱤᱠᱪᱚᱨ, ᱰᱤᱨᱮᱠᱴᱚᱨ, ᱥᱤᱱᱮᱢᱟᱴᱚᱜᱨᱟᱯᱷᱤ, ᱠᱚᱥᱴᱚᱢ ᱰᱤᱡᱟᱭᱤᱱ, ᱯᱷᱤᱞᱢ ᱮᱰᱤᱴᱤᱝ, ᱚᱨᱤᱡᱤᱱᱟᱞ ᱥᱠᱚᱨ, ᱯᱨᱚᱰᱚᱠᱥᱚᱱ ᱰᱤᱡᱟᱭᱤᱱ, ᱥᱟᱶᱰ ᱮᱰᱤᱴᱤᱝ, ᱥᱟᱶᱰ ᱢᱤᱠᱥᱤᱝ ᱟᱨ ᱚᱨᱤᱡᱤᱱᱟᱞ ᱥᱠᱨᱤᱱ ᱯᱞᱮᱭ ᱮᱢᱟᱱ ᱠᱚ᱾"
24,फिल्म से दो गीत (जो मूर्ख सपने आते हैं) और तारों के शहर के दो गीतों को सबसे अच्छे मूल गीत के लिए कोई कमी नहीं मिली ।,"ᱯᱷᱤᱞᱢ ᱨᱮᱭᱟᱜ ᱵᱟᱨᱭᱟ ᱥᱮᱨᱮᱧ, ᱚᱰᱤᱥᱚᱱ (ᱫᱤ ᱯᱷᱩᱞᱥ ᱦᱩ ᱰᱨᱤᱢ) ᱟᱨ ᱥᱤᱴᱤ ᱚᱯᱷ ᱥᱴᱟᱨᱥ, ᱫᱚ ᱥᱚᱨᱮᱥ ᱢᱩᱞ ᱥᱮᱨᱮᱧ ᱞᱟᱹᱜᱤᱫ ᱢᱚᱱᱚᱱᱤᱛ ᱧᱟ ᱞᱮᱱᱟ᱾ ᱞᱟᱭᱚᱱᱥᱜᱮᱴ ᱥᱴᱩᱰᱤᱭᱳ ᱫᱚ ᱒᱖ ᱢᱚᱱᱚᱱᱤᱛ ᱧᱟᱢ ᱞᱮᱫ-ᱟᱭ — ᱟᱨ ᱮᱴᱟᱜ ᱥᱴᱩᱰᱤᱭᱳ ᱠᱷᱚᱱ ᱰᱷᱮᱨ ᱜᱮI"
25,"रविवार के दिन, संयुक्‍त राज्य अमरीका के राष्ट्रपति ट्रम्प ने प्रेस सचिव द्वारा दिए एक कथन में, घोषणा की कि अमेरिका के सैनिकों को अराम छोड़ दिया जाएगा ।","ᱥᱤᱸᱜᱤ ᱢᱟᱦᱟᱸ ᱧᱤᱫᱟᱹ, ᱭᱩᱱᱟᱭᱴᱮᱰ ᱥᱴᱮᱴᱥ ᱯᱟᱨᱥᱮᱛ ᱰᱳᱱᱟᱞᱰᱚ ᱴᱨᱚᱢᱯ, ᱯᱨᱮᱥ ᱨᱮ ᱞᱟᱹᱭ ᱞᱮᱜ-ᱟᱭ ᱡᱮ ᱭᱩ.ᱮᱥ. ᱴᱨᱚᱯ ᱫᱚ ᱥᱤᱨᱤᱭᱟ ᱠᱷᱚᱱ ᱠᱚ ᱨᱩᱣᱟᱹᱲᱟ᱾"
26,"इस घोषणा के बाद, ट्रम्प ने तुर्की राष्ट्रपति Reypipiocan के साथ फोन पर एक फोन किया।",ᱱᱚᱶᱟ ᱦᱚᱦᱚ ᱫᱚ ᱛᱩᱨᱠᱤ ᱯᱟᱨᱥᱮᱛ ᱨᱤᱥᱤᱯ ᱛᱟᱭᱤᱯ ᱮᱨᱰᱚᱜᱟᱱ ᱥᱟᱶ ᱴᱨᱚᱸᱯ ᱥᱟᱶ ᱯᱷᱚᱱ ᱛᱮ ᱨᱚᱯᱚᱲ ᱦᱩᱭ ᱠᱟᱛᱮ ᱜᱟᱱᱮᱱᱟ᱾
27,"तुर्की की रक्षा करने के लिए रक्षात्मक लड़ाई - झगड़ों को भी ले जाएगा, जो कि कथन ने कहा है, यूरोपीय राष्ट्रों ने पुनर्भरण करने से इनकार कर दिया है ।","ᱥᱟᱵ ᱦᱚᱪᱚ ᱟᱠᱟᱱ ᱟᱭ.ᱮᱥ.ᱟᱭ.ᱮᱥ ᱯᱷᱟᱭᱴᱚᱨ ᱠᱚ ᱫᱚ ᱛᱩᱨᱠᱤ ᱦᱚᱨᱦᱚ ᱠᱚᱣᱟᱭ, ᱟᱨ ᱦᱚᱸ ᱠᱟᱛᱷᱟ ᱞᱮᱠᱟᱛᱮ, ᱭᱩᱨᱩᱯᱤᱭᱟᱱ ᱱᱮᱥᱚᱱ ᱱᱚᱶᱟ ᱟᱠᱚ ᱢᱩᱞᱩᱠ ᱛᱮ ᱨᱩᱣᱟᱹᱲᱮ ᱢᱟᱱᱟ ᱟᱠᱟᱫᱟ᱾"
28,"यह केवल इस बात की पुष्टि नहीं करता कि कम - से - कम कुछ जड़ी - बूटियों के परे होते हैं, एक सिद्धांत पहले से ही व्यापक है, लेकिन विवरण प्रदान करता है आम तौर पर रंग और तीन-छोटे व्यवस्था ।","ᱱᱚᱶᱟ ᱫᱚ ᱵᱟᱭ ᱴᱷᱟᱹᱣᱠᱟ.ᱣᱮᱫ ᱛᱟᱦᱮᱸᱫ ᱡᱮ ᱰᱟᱭᱱᱮᱥᱚᱨᱟᱜ ᱯᱷᱟᱹᱠᱬᱟ.ᱜ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ, ᱢᱤᱫ ᱛᱷᱤᱣᱨᱤ ᱢᱟᱬᱟᱝ ᱠᱷᱚᱱᱮ ᱞᱟᱹᱭ ᱥᱟᱰᱮ ᱟᱠᱟᱫᱟ, ᱢᱮᱱᱠᱷᱟᱱ ᱦᱚᱲᱢᱚ ᱛᱚᱨᱚᱡ ᱱᱚᱶᱟ ᱠᱚ ᱵᱟᱭ ᱴᱷᱟᱹᱣᱠᱟᱹᱭᱟ ᱡᱮᱢᱚᱱ ᱨᱚᱝ ᱯᱮ-ᱰᱟᱭᱢᱮᱱᱥᱚᱱᱟᱞ ᱟᱨᱮᱸᱡᱽᱢᱮᱸᱴ᱾"
