# GOLD curated hi->sat exact-match pre-check (source: datasets/hin_sat/corpus.gold_verified.tsv tier).
# TSV: hindi<TAB>santali. Loaded once at MT warm-up; exact match on trimmed input.
नमस्ते	ᱡᱚᱦᱟᱨ
क्या आप क्रेडिट कार्ड स्वीकार करते हैं?	ᱪᱮᱫ ᱟᱢ ᱠᱨᱮᱰᱤᱴ ᱠᱟᱨᱰ ᱮᱢ ᱟᱝᱜᱚᱪ ᱮᱫᱟ?
इसकी लागत कितनी है?	ᱱᱚᱣᱟ ᱨᱮᱭᱟᱜ ᱜᱚᱱᱚᱝ ᱛᱤᱱᱟᱹᱜ ?
आप यह कैसे कहते हैं?	ᱟᱢ ᱱᱚᱣᱟ ᱪᱤᱠᱟᱹᱛᱮᱢ ᱢᱮᱱ ᱮᱫᱟ?
क्या आस-पास कोई अस्पताल है?	ᱪᱮᱫ ᱥᱩᱨ ᱨᱮ ᱢᱤᱫ ᱦᱚᱥᱯᱤᱴᱟᱞ ᱢᱮᱱᱟᱜᱼᱟ?
मैं वहां किस प्रकार पहुंचा?	ᱤᱧ ᱚᱱᱰᱮ ᱪᱤᱠᱟᱹᱛᱮᱧ ᱥᱮᱴᱮᱨᱚᱜᱼᱟ?
आप क्या सिफ़ारिश करते हैं?	ᱟᱢ ᱪᱮᱫ ᱥᱚᱞᱦᱟᱢ ᱮᱢᱚᱜ ᱠᱟᱱᱟ?
बाज़ार कहाँ है?	ᱵᱟᱡᱟᱨ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
अस्पताल कहाँ है?	ᱦᱚᱥᱯᱤᱴᱟᱞ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
आपका नाम क्या है?	ᱟᱢᱟᱜ ᱧᱩᱛᱩᱢ ᱪᱮᱫ?
क्या पैदल चलना सुरक्षित है?	ᱪᱮᱫ ᱱᱚᱣᱟ ᱛᱟᱲᱟᱢ ᱞᱟᱹᱜᱤᱫ ᱨᱚᱯᱟ ᱜᱮᱭᱟ?
बाथरूम कहाँ है?	ᱵᱟᱛᱷᱨᱩᱢ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
टिकट कितनी है?	ᱴᱤᱠᱤᱴ ᱫᱚ ᱛᱤᱱᱟᱹᱜ ᱜᱟᱱ?
क्या समय हो गया है?	ᱱᱤᱛ ᱛᱤᱱᱟᱹᱜ ᱚᱠᱛᱚ ᱦᱩᱭ ᱟᱠᱟᱱᱟ?
इसका क्या मतलब है?	ᱱᱚᱣᱟ ᱨᱮᱭᱟᱜ ᱢᱮᱱᱮᱛ ᱪᱮᱫ ᱠᱟᱱᱟ?
आपकी आयु कितनी है?	ᱟᱢᱟᱜ ᱛᱤᱱᱮᱜ ᱵᱚᱭᱮᱥ ᱦᱩᱭᱩᱜ ᱠᱟᱱ ᱛᱟᱢᱟ?
आप कहाँ से हैं?	ᱟᱢ ᱚᱠᱟ ᱨᱮᱱ ᱠᱟᱱᱟᱢ?
क्या आप मेरी मदद कर सकते हैं?	ᱪᱮᱫ ᱟᱢ ᱤᱧᱮᱢ ᱜᱚᱲᱚ ᱟᱹᱧᱟ?
औषधालय कहां है?	ᱯᱷᱟᱨᱢᱟᱥᱭ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
क्या यह दिन अच्छा है?	ᱪᱮᱫ ᱱᱚᱣᱟ ᱫᱤᱱ ᱱᱟᱯᱟᱭ ᱠᱟᱱᱟ?
क्या यह सप्ताह अच्छा है?	ᱪᱮᱫ ᱱᱚᱣᱟ ᱦᱟᱯᱛᱟ ᱱᱟᱯᱟᱭ ᱠᱟᱱᱟ?
क्या यह पेन अच्छा है?	ᱪᱮᱫ ᱱᱚᱣᱟ ᱯᱮᱱ ᱱᱟᱯᱟᱭ ᱠᱟᱱᱟ?
क्या यह नदी अच्छा है?	ᱪᱮᱫ ᱱᱚᱣᱟ ᱱᱟᱹᱭ ᱱᱟᱯᱟᱭ ᱠᱟᱱᱟ?
क्या यह आदमी अच्छा है?	ᱪᱮᱫ ᱱᱚᱣᱟ ᱦᱚᱲ ᱱᱟᱯᱟᱭ ᱠᱟᱱᱟ?
क्या यह दोस्त अच्छा है?	ᱪᱮᱫ ᱱᱚᱣᱟ ᱜᱟᱛᱮ ᱱᱟᱯᱟᱭ ᱠᱟᱱᱟ?
क्या यह भाषा अच्छा है?	ᱪᱮᱫ ᱱᱚᱣᱟ ᱯᱟᱹᱨᱥᱤ ᱱᱟᱯᱟᱭ ᱠᱟᱱᱟ?
क्या यह मुर्गी अच्छा है?	ᱪᱮᱫ ᱱᱚᱣᱟ ᱢᱩᱠᱨᱤ ᱱᱟᱯᱟᱭ ᱠᱟᱱᱟ?
क्या यह खेल अच्छा है?	ᱪᱮᱫ ᱱᱚᱣᱟ ᱠᱷᱮᱞ ᱱᱟᱯᱟᱭ ᱠᱟᱱᱟ?
क्या यह बाज़ार अच्छा है?	ᱪᱮᱫ ᱱᱚᱣᱟ ᱵᱟᱡᱟᱨ ᱱᱟᱯᱟᱭ ᱠᱟᱱᱟ?
क्या यह नर्स अच्छा है?	ᱪᱮᱫ ᱱᱚᱣᱟ ᱱᱟᱨᱥ ᱱᱟᱯᱟᱭ ᱠᱟᱱᱟ?
क्या यह नाम अच्छा है?	ᱪᱮᱫ ᱱᱚᱣᱟ ᱧᱩᱛᱩᱢ ᱱᱟᱯᱟᱭ ᱠᱟᱱᱟ?
क्या यह रात अच्छा है?	ᱪᱮᱫ ᱱᱚᱣᱟ ᱧᱤᱫᱟᱹ ᱱᱟᱯᱟᱭ ᱠᱟᱱᱟ?
क्या यह समय अच्छा है?	ᱪᱮᱫ ᱱᱚᱣᱟ ᱚᱠᱛᱚ ᱱᱟᱯᱟᱭ ᱠᱟᱱᱟ?
क्या यह नाक अच्छा है?	ᱪᱮᱫ ᱱᱚᱣᱟ ᱱᱟᱠ ᱱᱟᱯᱟᱭ ᱠᱟᱱᱟ?
क्या यह पेंसिल अच्छा है?	ᱪᱮᱫ ᱱᱚᱣᱟ ᱯᱮᱱᱥᱤᱞ ᱱᱟᱯᱟᱭ ᱠᱟᱱᱟ?
क्या यह पानी अच्छा है?	ᱪᱮᱫ ᱱᱚᱣᱟ ᱫᱟᱜ ᱱᱟᱯᱟᱭ ᱠᱟᱱᱟ?
मेरा नाम क्या है	ᱤᱧᱟᱹᱜ ᱧᱩᱛᱩᱢ ᱪᱮᱫ?
