utt_id	wav	dur_s	peak	sr	status	flags	text_olchiki
train_santalimale_00026	train_santalimale_00026.wav	12.72	0.808	48000	PASS	-	ᱱᱩᱠᱩ ᱯᱟᱹᱨᱤᱥ ᱢᱩᱫ ᱨᱮ ᱯᱟᱹᱣᱚᱨᱤᱭᱟ, ᱜᱚᱸᱰᱣᱟᱨ, ᱵᱮᱫᱤᱭᱟ ᱟᱨ ᱪᱚᱸᱲᱮᱹ ᱯᱟᱹᱨᱤᱥᱠᱚ ᱫᱚ ᱮᱴᱟ: ᱯᱟᱹᱨᱤᱥ ᱨᱮᱠᱚ ᱵᱚᱞᱚᱱ ᱠᱟᱱᱟ ᱟᱨ ᱠᱚ ᱢᱮᱥᱟ ᱢᱤᱥᱤ: ᱠᱟᱱᱟ।
train_santalimale_00027	train_santalimale_00027.wav	4.84	0.807	48000	PASS	-	ᱥᱟᱱᱛᱟᱲ ᱦᱚᱲᱠᱚᱣᱟᱷ ᱫᱚ ᱟᱯᱱᱟᱨᱟᱷ ᱥᱟᱥᱚᱱ ᱛᱚᱸᱛᱨ ᱢᱮᱱᱟ: ᱟ।
train_santalimale_00028	train_santalimale_00028.wav	3.18	0.805	48000	PASS	-	ᱟᱹᱛᱩ ᱨᱮᱱ ᱯᱨᱫᱷᱟᱱ ᱫᱚ ᱢᱟᱸᱡᱷᱤ ᱠᱟᱱᱟᱭ।
train_santalimale_00029	train_santalimale_00029.wav	5.50	0.803	48000	PASS	-	ᱢᱟᱸᱡᱷᱤ ᱜᱚᱰᱚ ᱞᱟᱹᱜᱤᱫᱼᱟ ᱛᱮ ᱯᱟᱨᱟᱱᱤᱠ ᱟᱨ ᱡᱚᱜ ᱢᱟᱸᱡᱷᱤ ᱠᱤᱱ ᱛᱟᱸᱦᱮᱸᱱᱟ।
train_santalimale_00030	train_santalimale_00030.wav	4.56	0.805	48000	PASS	-	ᱟᱹᱛᱩ ᱨᱮᱱ ᱵᱚᱸᱜᱟ ᱫᱮᱵᱟᱥᱮᱵᱟ ᱞᱟᱹᱜᱤᱫᱼᱟ ᱛᱮᱫᱚ ᱱᱟᱭᱠᱮ ᱛᱟᱸᱦᱮᱸᱱᱟᱭ।
train_santalimale_00031	train_santalimale_00031.wav	3.79	0.803	48000	PASS	-	ᱱᱟᱭᱠᱮ ᱜᱚᱲᱚ ᱞᱟᱹᱜᱤᱫᱼᱟ ᱫᱚ ᱠᱩᱲᱟᱹᱢ ᱱᱟᱭᱠᱮ ᱛᱟᱸᱦᱮᱸᱱᱟᱭ।
train_santalimale_00032	train_santalimale_00032.wav	4.27	0.800	48000	PASS	-	ᱟᱹᱛᱩ ᱵᱮᱱᱟᱣ ᱢᱟᱰᱟᱝ ᱫᱚ ᱜᱚᱨᱟᱢ ᱠᱚ ᱵᱮᱨᱮᱫᱟ।
train_santalimale_00033	train_santalimale_00033.wav	9.78	0.802	48000	PASS	-	ᱡᱟᱦᱟᱸ ᱯᱟᱹᱨᱤᱥ ᱨᱮᱱ ᱦᱚᱲ ᱜᱚᱨᱟᱢ ᱠᱚ ᱵᱮᱨᱮᱫᱟ, ᱚᱱᱟ ᱯᱟᱹᱨᱤᱥ ᱨᱮᱱ ᱜᱮ, ᱚᱱᱟ ᱟᱹᱛᱩ ᱨᱮᱱ ᱢᱟᱸᱡᱷᱤ ᱟᱨ ᱱᱟᱭᱠᱮ ᱫᱚ ᱠᱤᱱ ᱵᱮᱱᱟᱣ: ᱟ।
train_santalimale_00034	train_santalimale_00034.wav	8.07	0.802	48000	PASS	-	ᱟᱨ ᱟᱱᱟᱛᱮ ᱢᱟᱸᱡᱷᱤ ᱟᱨ ᱱᱟᱭᱠᱮ ᱯᱚᱫ ᱫᱚ ᱥᱟᱱᱟᱢ ᱟᱹᱛᱩ ᱨᱮᱱ ᱦᱚᱲ ᱠᱚᱣᱟ: ᱵᱚᱸᱥᱚᱜᱚᱫᱼᱟ ᱯᱚᱫ ᱠᱟᱱᱟ।
train_santalimale_00035	train_santalimale_00035.wav	5.50	0.800	48000	PASS	-	ᱵᱟᱨᱭᱟᱯᱮᱭᱟ ᱟᱹᱛᱩ ᱢᱤᱫᱼᱟᱠᱟᱛᱮ ᱢᱤᱫᱼᱟᱴᱟᱝ ᱢᱟᱯᱟᱡᱷᱤ ᱠᱚ ᱵᱮᱱᱟᱣ ᱮᱭᱟ।
train_santalimale_00036	train_santalimale_00036.wav	9.92	0.806	48000	PASS	-	ᱜᱮᱞᱵᱟᱨ ᱜᱚᱴᱟᱝ ᱟᱹᱛᱩ ᱢᱤᱫᱼᱟᱠᱟᱛᱮ ᱢᱤᱫᱼᱟᱴᱟᱝ ᱛᱚᱨᱚᱯ ᱵᱮᱱᱟᱣ ᱟᱠᱟᱱᱟ, ᱛᱚᱨᱚᱯᱨᱮᱱ ᱯᱨᱫᱷᱟᱱ ᱫᱚ ᱛᱚᱨᱚᱯ ᱯᱟᱨᱜᱟᱱᱟᱭ ᱛᱟᱸᱦᱮᱸᱱᱟ।
train_santalimale_00037	train_santalimale_00037.wav	5.06	0.806	48000	PASS	-	ᱜᱮᱞᱵᱟᱨ ᱛᱚᱨᱚᱯ ᱢᱤᱫᱼᱟ ᱠᱟᱛᱮ ᱢᱤᱫᱼᱟᱴᱟᱝ ᱫᱤᱥᱚᱢ ᱯᱟᱨᱜᱟᱱᱟᱭ ᱛᱟᱸᱦᱮᱸᱱᱟ।
train_santalimale_00038	train_santalimale_00038.wav	4.32	0.805	48000	PASS	-	ᱱᱚᱣᱟ ᱱᱤᱭᱚᱢ ᱜᱮ ᱥᱟᱸᱣᱛᱟ ᱨᱮ ᱦᱮᱡᱼᱟ ᱦᱤᱡᱩᱷ ᱠᱟᱱᱟ।
train_santalimale_00039	train_santalimale_00039.wav	6.81	0.806	48000	PASS	-	ᱵᱤᱪᱟᱨᱚᱟᱪᱟᱨ ᱠᱟᱹᱢᱤ ᱫᱚ ᱡᱮᱛᱮ ᱠᱷᱚᱱ ᱢᱩᱪᱟᱫᱼᱟ ᱨᱮ ᱫᱚ ᱞᱚ ᱵᱤᱨ ᱵᱟᱤᱥᱤ ᱢᱮᱱᱟ: ᱟ।
train_santalimale_00040	train_santalimale_00040.wav	8.36	0.803	48000	PASS	-	ᱱᱚᱣᱟ ᱞᱚ ᱵᱤᱨ ᱣᱤᱪᱟᱨ ᱫᱚ ᱱᱟᱭᱠᱮ ᱟᱨ ᱥᱮᱸᱫᱨᱟ ᱵᱤᱨ ᱨᱮᱱ ᱥᱤᱠᱚᱨᱤᱭᱟ ᱠᱚ, ᱫᱚᱸᱜᱮᱲ ᱴᱟᱸᱰᱤ ᱨᱮ ᱠᱚ ᱵᱤᱪᱟᱨᱟ।
train_santalimale_00041	train_santalimale_00041.wav	2.59	0.801	48000	PASS	-	ᱱᱚᱟ ᱫᱚ ᱢᱩᱪᱟᱫᱼᱟ ᱵᱤᱪᱟᱨ ᱠᱟᱱᱟ।
train_santalimale_00042	train_santalimale_00042.wav	4.52	0.806	48000	PASS	-	ᱡᱟᱦᱟᱸᱭ ᱵᱟᱭ ᱵᱟᱛᱟᱣᱟ, ᱩᱱᱤ ᱫᱚ ᱥᱟᱸᱣᱛᱟ ᱠᱷᱚᱱ ᱠᱚ ᱚᱪᱚ: ᱮᱭᱟ।
train_santalimale_00043	train_santalimale_00043.wav	3.31	0.802	48000	PASS	-	ᱚᱱᱟ ᱫᱚ ᱵᱤᱴᱞᱟᱦᱟ ᱠᱚ ᱢᱮᱛᱟ: ᱟ।
train_santalimale_00044	train_santalimale_00044.wav	7.25	0.806	48000	PASS	-	ᱟᱹᱛᱩ ᱨᱮᱱᱟ: ᱵᱤᱪᱟᱨ ᱡᱟᱸᱦᱟᱭ ᱦᱚᱲ ᱵᱟᱭ ᱵᱟᱛᱟᱣᱟ ᱩᱱᱤ ᱫᱚᱠᱚ ᱮᱠᱟᱜᱷᱩᱨᱤᱭᱟ ᱮᱭᱟ।
train_santalimale_00045	train_santalimale_00045.wav	9.32	0.806	48000	PASS	-	ᱚᱱᱟᱛᱮ ᱥᱟᱱᱛᱟᱲ ᱥᱟᱸᱣᱛᱟ ᱨᱮ ᱫᱚ ᱥᱟᱱᱛᱟᱲ ᱦᱚᱲ ᱠᱚᱣᱟᱷ ᱟᱪᱟᱨᱚᱣᱤᱪᱟᱨ ᱢᱮᱱᱟ: ᱟ ᱟᱨ ᱥᱟᱱᱟᱢ ᱦᱚᱲᱠᱚ ᱢᱟᱱᱟᱣ ᱵᱟᱛᱟᱣᱚᱮᱫᱟ।
train_santalimale_00046	train_santalimale_00046.wav	11.79	0.801	48000	PASS	-	ᱥᱟᱱᱛᱟᱲ ᱦᱚᱲᱠᱚ ᱫᱚ ᱫᱷᱟᱹᱨᱛᱤ ᱨᱮᱱᱟ: ᱫᱟᱨᱮ, ᱫᱷᱤᱨᱤ, ᱚᱛ, ᱦᱟᱥᱟ,ᱜᱟᱰᱟ ᱢᱩᱰᱩ, ᱦᱩᱰᱩ, ᱪᱟᱣᱞᱮ, ᱟᱱᱟᱡ, ᱵᱟᱦᱟ, ᱡᱚ, ᱥᱟᱠᱟᱢ ᱜᱮ ᱠᱚ ᱵᱚᱸᱜᱟᱭᱟ।
train_santalimale_00047	train_santalimale_00047.wav	6.11	0.804	48000	PASS	-	ᱧᱮᱞᱮᱠᱟ ᱵᱟᱦᱟ ᱵᱚᱸᱜᱟ ᱨᱮ ᱫᱚ ᱥᱟᱨᱡᱚᱢ ᱵᱟᱦᱟ, ᱢᱟᱛᱠᱚᱢ ᱜᱮᱞ ᱠᱚ ᱫᱮᱣᱟ ᱥᱮᱵᱟᱭᱟ।
train_santalimale_00048	train_santalimale_00048.wav	9.14	0.805	48000	PASS	-	ᱚᱱᱠᱟᱜᱮ ᱡᱟᱱᱟᱢᱪᱷᱟᱹᱴᱭᱟᱹᱨ ᱨᱮ ᱫᱚ ᱟᱫᱼᱟ ᱱᱟ ᱥᱟᱠᱟᱢ, ᱱᱤᱢ ᱫᱟ ᱢᱟᱹᱰᱤ, ᱥᱚᱥᱚ ᱡᱚ ᱫᱟᱷ, ᱵᱟᱪᱠᱚᱢ ᱜᱷᱟᱸᱥ।
train_santalimale_00049	train_santalimale_00049.wav	8.84	0.804	48000	PASS	-	ᱵᱟᱵᱼᱟᱞᱟ ᱵᱮᱦᱟ ᱨᱮ ᱫᱚ ᱩᱞᱲᱟᱹᱨ, ᱢᱟᱛᱠᱚᱢ ᱲᱟᱹᱨ, ᱥᱮᱠᱨᱮᱡᱼᱟ ᱲᱟᱹᱨ, ᱥᱟᱨᱡᱚᱢ ᱥᱟᱠᱟᱢ।
train_santalimale_00050	train_santalimale_00050.wav	7.67	0.809	48000	PASS	-	ᱥᱟᱱᱛᱟᱲ ᱠᱚᱣᱟ: ᱮᱱᱮᱡᱼᱟ ᱥᱮᱨᱮᱧ, ᱨᱩᱨᱟᱦᱟ ᱦᱚᱸ ᱜᱮᱞᱵᱟᱨ ᱪᱟᱸᱫᱚ ᱨᱮ, ᱜᱮᱞᱵᱟᱨ ᱞᱮᱠᱟᱱᱟ: ᱢᱮᱱᱟ: ᱟ।
train_santalimale_00051	train_santalimale_00051.wav	10.07	0.805	48000	PASS	-	ᱮᱱᱮᱡᱼᱟ ᱥᱮᱨᱮᱧ, ᱨᱩ, ᱨᱟᱦᱟ ᱠᱚ ᱫᱚ ᱢᱚᱪᱟ ᱪᱮᱛᱟᱱ ᱢᱚᱪᱟ, ᱞᱩᱛᱩᱨ ᱪᱮᱛᱟᱱ ᱞᱩᱛᱩᱨ, ᱞᱟᱹᱤ ᱟᱨ ᱟᱧᱡᱚᱢ ᱦᱤᱡᱩᱷ ᱠᱟᱱᱟ।
train_santalimale_00052	train_santalimale_00052.wav	7.96	0.801	48000	PASS	-	ᱟᱨ ᱚᱱᱟᱠᱚ ᱜᱮ ᱯᱟᱹᱨᱟᱹᱵ ᱯᱩᱱᱟ ᱨᱮ ᱫᱚ ᱞᱟᱤᱟᱹᱜᱩ, ᱥᱮᱨᱮᱧ ᱟᱹᱜᱩ: ᱠᱟᱱᱟ, ᱥᱟᱱᱛᱟᱲ ᱥᱟᱸᱣᱛᱟ ᱨᱮ।
train_santalimale_00053	train_santalimale_00053.wav	6.87	0.803	48000	PASS	-	ᱱᱚᱣᱟ ᱥᱮᱫᱟᱭ ᱥᱮᱨᱮᱧ ᱠᱚ ᱫᱚ ᱥᱟᱱᱟᱢ ᱦᱚᱲ ᱴᱷᱮᱱ ᱢᱚᱪᱟᱨᱮ ᱢᱟᱣᱠᱷᱤᱠ ᱞᱮᱠᱟᱛᱮ ᱜᱮ ᱢᱮᱱᱟᱷᱟ।
train_santalimale_00054	train_santalimale_00054.wav	6.26	0.807	48000	PASS	-	ᱚᱱᱟᱛᱮ ᱱᱚᱣᱟ ᱥᱮᱨᱮᱧ ᱠᱚ ᱫᱚ ᱠᱟᱱᱟ, ᱟᱹᱛᱩ ᱚᱲᱟᱹ: ᱨᱮᱱᱟ: ᱟᱠᱤᱞ ᱜᱮᱭᱟᱱ।
train_santalimale_00055	train_santalimale_00055.wav	5.46	0.802	48000	PASS	-	ᱚᱠᱚᱭ: ᱠᱚ, ᱱᱚᱣᱟ ᱠᱚ ᱫᱚ ᱦᱚᱲ ᱵᱤᱨᱫᱟᱹ, ᱞᱚᱠ ᱣᱤᱫᱭᱟ ᱠᱚ ᱢᱮᱛᱟ: ᱟ।
