बाद में मिलते हैं	ᱛᱟᱭᱚᱢ ᱛᱮ ᱞᱟᱝ ᱧᱟᱯᱟᱢᱚᱜᱼᱟ
मैं बीमार हूँ	ᱤᱧ ᱨᱩᱣᱟᱹ ᱜᱮᱭᱟᱹᱧ
ᱛᱮᱦᱮᱧ	आज
ᱢᱤᱫ ᱰᱟᱠᱴᱚᱨ ᱦᱚᱦᱚᱭᱮᱢ	डॉक्टर को बुलाओ
ᱜᱮᱞ	दस
अगले सप्ताह	ᱫᱚᱥᱟᱨ ᱦᱟᱯᱛᱟ
बहुत बहुत धन्यवाद	ᱟᱭᱢᱟ ᱥᱟᱨᱦᱟᱣ
प्रवेश	ᱵᱚᱞᱚᱱ ᱰᱟᱦᱟᱨ
ᱤᱧ ᱢᱤᱫ ᱰᱟᱠᱴᱚᱨ ᱞᱟᱹᱠᱛᱤᱭᱟᱹᱧ ᱠᱟᱱᱟ	मुझे एक डॉक्टर की जरूरत है
रेलवे स्टेशन कहां है?	ᱴᱨᱮᱱ ᱥᱴᱮᱥᱚᱱ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
कृपया इसे लिख लें	ᱫᱟᱭᱟ ᱠᱟᱛᱮ ᱱᱚᱣᱟ ᱚᱞ ᱢᱮ
मैं खो गया हूँ	ᱤᱧ ᱟᱫ ᱟᱠᱟᱱᱟᱹᱧ
ᱱᱚᱣᱟ ᱫᱚ ᱟᱹᱰᱤ ᱫᱟᱢ ᱜᱮᱭᱟ	यह बहुत महंगा है
ᱵᱟᱛᱷᱨᱩᱢ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?	बाथरूम कहाँ है?
कोई समस्या नहीं	ᱪᱮᱫ ᱦᱚᱸ ᱮᱴᱠᱮᱴᱚᱬᱮ ᱵᱟᱹᱱᱩᱜᱼᱟ
ᱛᱩᱨᱩᱭ	छह
ᱵᱤᱞ, ᱫᱟᱭᱟ ᱠᱟᱛᱮ	बिल, कृपया
ᱥᱟᱨᱦᱟᱣ ᱦᱩᱭᱩᱜ ᱢᱟ	बधाई हो
नौ	ᱟᱨᱮ
एक घंटा	ᱢᱤᱫ ᱴᱟᱲᱟᱝ
बाहर निकलें	ᱚᱰᱚᱠᱚᱜ ᱢᱮ
ᱵᱟᱨ ᱦᱚᱲ ᱞᱟᱹᱜᱤᱫ ᱢᱤᱫ ᱴᱮᱵᱩᱞ, ᱫᱟᱭᱟ ᱠᱟᱛᱮ	कृपया दो लोगों के लिए एक टेबल
ᱞᱮᱸᱜᱟ ᱥᱮᱫ ᱟᱹᱪᱩᱨᱚᱜ ᱢᱮ	बाएँ मुड़ें
ᱤᱧ ᱫᱚ ᱢᱤᱫ ᱯᱟᱹᱴᱷᱩᱣᱟᱹ ᱠᱟᱱᱟᱹᱧ	मैं एक विद्यार्थी हूँ
मैं टिकट कहाँ से खरीद सकता हूँ?	ᱤᱧ ᱚᱠᱟ ᱠᱷᱚᱱ ᱴᱤᱠᱤᱴ ᱠᱤᱨᱤᱧ ᱫᱟᱲᱮᱭᱟᱜᱼᱟᱹᱧ?
ᱦᱚᱥᱯᱤᱴᱟᱞ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?	अस्पताल कहाँ है?
ᱯᱩᱱ	चार
हवाई अड्डा कहाँ है?	ᱮᱭᱟᱨᱯᱚᱨᱴ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
ᱫᱚᱥᱟᱨ ᱦᱟᱯᱛᱟ	अगले सप्ताह
क्या आप क्रेडिट कार्ड स्वीकार करते हैं?	ᱪᱮᱫ ᱟᱢ ᱠᱨᱮᱰᱤᱴ ᱠᱟᱨᱰ ᱮᱢ ᱟᱝᱜᱚᱪ ᱮᱫᱟ?
ᱯᱩᱞᱤᱥ ᱦᱚᱦᱚ ᱠᱚᱢ	पुलिस को बुलाओ
ᱯᱤᱴᱷᱟᱹ	रोटी
ᱱᱤᱛ ᱛᱤᱱᱟᱹᱜ ᱚᱠᱛᱚ ᱦᱩᱭ ᱟᱠᱟᱱᱟ?	क्या समय हो गया है?
ᱤᱧ ᱟᱫ ᱟᱠᱟᱱᱟᱹᱧ	मैं खो गया हूँ
ᱱᱚᱣᱟ ᱨᱮᱭᱟᱜ ᱢᱮᱱᱮᱛ ᱪᱮᱫ ᱠᱟᱱᱟ?	इसका क्या मतलब है?
ᱟᱭᱢᱟ ᱥᱟᱨᱦᱟᱣ	बहुत बहुत धन्यवाद
मुझे एक डॉक्टर की जरूरत है	ᱤᱧ ᱢᱤᱫ ᱰᱟᱠᱴᱚᱨ ᱞᱟᱹᱠᱛᱤᱭᱟᱹᱧ ᱠᱟᱱᱟ
ᱤᱧ ᱫᱚ ᱱᱤᱛ ᱜᱮ ᱠᱚᱭᱚᱜ ᱠᱟᱱᱟᱹᱧ	मैं बस देख रहा हूँ
मैं थोड़ा बोलता हूँ	ᱤᱧ ᱱᱟᱥᱮ ᱨᱚᱲ ᱮᱫᱟᱹᱧ
ᱛᱟᱭᱚᱢ ᱛᱮ ᱞᱟᱝ ᱧᱟᱯᱟᱢᱚᱜᱼᱟ	बाद में मिलते हैं
ᱜᱟᱯᱟ ᱞᱟᱝ ᱧᱟᱯᱟᱢᱚᱜᱼᱟ	कल मिलते हैं
यह स्वादिष्ट है	ᱱᱚᱣᱟ ᱫᱚ ᱥᱤᱵᱤᱞ ᱜᱮᱭᱟ
मुझे प्यास लगी है	ᱤᱧ ᱛᱮᱛᱟᱝ ᱟᱠᱟᱱᱟᱹᱧ
ᱪᱮᱫ ᱱᱚᱣᱟ ᱛᱟᱲᱟᱢ ᱞᱟᱹᱜᱤᱫ ᱨᱚᱯᱟ ᱜᱮᱭᱟ?	क्या पैदल चलना सुरक्षित है?
नहीं	ᱵᱟᱝ
इसकी लागत कितनी है?	ᱱᱚᱣᱟ ᱨᱮᱭᱟᱜ ᱜᱚᱱᱚᱝ ᱛᱤᱱᱟᱹᱜ ?
आप यह कैसे कहते हैं?	ᱟᱢ ᱱᱚᱣᱟ ᱪᱤᱠᱟᱹᱛᱮᱢ ᱢᱮᱱ ᱮᱫᱟ?
ᱤᱧ ᱵᱟᱹᱧ ᱵᱩᱡᱷᱟᱹᱣ ᱫᱟᱲᱮᱭᱟᱜ ᱠᱟᱱᱟ	मुझे समझ नहीं आता
पानी, कृपया	ᱫᱟᱜ, ᱫᱟᱭᱟ ᱠᱟᱛᱮ
कृपया उसे दोहराएँ	ᱫᱟᱭᱟ ᱠᱟᱛᱮ ᱚᱱᱟ ᱫᱚᱦᱲᱟᱭ ᱢᱮ
ᱱᱚᱣᱟ ᱫᱚ ᱥᱤᱵᱤᱞ ᱜᱮᱭᱟ	यह स्वादिष्ट है
आपका स्वागत है	ᱟᱢᱟᱜ ᱥᱟᱹᱜᱩᱱ ᱫᱟᱨᱟᱢ
एक	ᱢᱤᱫ
ᱟᱭᱢᱟ ᱥᱟᱨᱦᱟᱣ	शुभकामनाएँ
ᱥᱟᱹᱜᱩᱱ ᱥᱮᱛᱟᱜ	सुप्रभात
ᱫᱟᱭᱟ ᱠᱟᱛᱮ ᱚᱱᱟ ᱫᱚᱦᱲᱟᱭ ᱢᱮ	कृपया उसे दोहराएँ
क्या आस-पास कोई अस्पताल है?	ᱪᱮᱫ ᱥᱩᱨ ᱨᱮ ᱢᱤᱫ ᱦᱚᱥᱯᱤᱴᱟᱞ ᱢᱮᱱᱟᱜᱼᱟ?
मैं वहां किस प्रकार पहुंचा?	ᱤᱧ ᱚᱱᱰᱮ ᱪᱤᱠᱟᱹᱛᱮᱧ ᱥᱮᱴᱮᱨᱚᱜᱼᱟ?
यह मेरा दोस्त है	ᱱᱩᱭ ᱫᱚ ᱤᱧ ᱨᱮᱱ ᱜᱟᱛᱮ ᱠᱟᱱᱟᱭ
बंद	ᱵᱚᱱᱫᱚ
स्वागत है	ᱥᱟᱹᱜᱩᱱ ᱫᱟᱨᱟᱢ
ᱢᱮᱱᱭᱩ, ᱫᱟᱭᱟ ᱠᱟᱛᱮ	कृपया मेनू
ᱱᱚᱶᱟ ᱫᱚ ᱥᱟᱝᱜᱤᱧ ᱜᱮᱭᱟ	यह दूर है
ᱱᱚᱣᱟ ᱫᱚ ᱥᱩᱨ ᱨᱮ ᱜᱮᱭᱟ	यह निकट है
ᱪᱮᱫ ᱟᱢ ᱤᱧᱮᱢ ᱜᱚᱲᱚ ᱟᱹᱧᱟ?	क्या आप मेरी मदद कर सकते हैं?
ᱤᱧ ᱚᱱᱰᱮ ᱪᱤᱠᱟᱹᱛᱮᱧ ᱥᱮᱴᱮᱨᱚᱜᱼᱟ?	मैं वहां किस प्रकार पहुंचा?
ᱤᱧ ᱪᱮᱫᱚᱜ ᱠᱟᱱᱟᱹᱧ	मैं सीख रहा हूँ
धन्यवाद	ᱟᱭᱢᱟ ᱥᱟᱨᱦᱟᱣ
ᱟᱢᱟᱜ ᱫᱤᱱ ᱱᱟᱯᱟᱭ ᱛᱟᱦᱮᱱ ᱢᱟ	आपका दिन शुभ हो
आपसे मिलकर अच्छा लगा	ᱟᱢ ᱥᱟᱶ ᱧᱟᱯᱟᱢ ᱠᱟᱛᱮ ᱠᱩᱥᱤ ᱮᱱᱟᱹᱧ
शाम को	ᱥᱤᱸᱜᱟᱹᱲ ᱨᱮ
ᱟᱢ ᱱᱚᱣᱟ ᱪᱤᱠᱟᱹᱛᱮᱢ ᱢᱮᱱ ᱮᱫᱟ?	आप यह कैसे कहते हैं?
मुझे खाने से एलर्जी है	ᱤᱧ ᱫᱚ ᱡᱚᱢᱟᱜ ᱠᱷᱚᱱ ᱮᱞᱟᱨᱡᱤ ᱢᱮᱱᱟᱜ ᱛᱤᱧᱟ
ᱪᱮᱫ ᱟᱢ ᱠᱨᱮᱰᱤᱴ ᱠᱟᱨᱰ ᱮᱢ ᱟᱝᱜᱚᱪ ᱮᱫᱟ?	क्या आप क्रेडिट कार्ड स्वीकार करते हैं?
दाएं मुड़ें	ᱡᱚᱡᱚᱢ ᱥᱮᱫ ᱟᱹᱪᱩᱨᱚᱜ ᱢᱮ
कृपया धीरे बोलें	ᱫᱟᱭᱟ ᱠᱟᱛᱮ ᱵᱟᱹᱭ ᱵᱟᱹᱭ ᱛᱮ ᱨᱚᱲ ᱢᱮ
मैं इसे ले लूँगा	ᱤᱧ ᱱᱚᱣᱟᱧ ᱦᱟᱛᱟᱣᱟ
आप क्या सिफ़ारिश करते हैं?	ᱟᱢ ᱪᱮᱫ ᱥᱚᱞᱦᱟᱢ ᱮᱢᱚᱜ ᱠᱟᱱᱟ?
बाज़ार कहाँ है?	ᱵᱟᱡᱟᱨ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
अस्पताल कहाँ है?	ᱦᱚᱥᱯᱤᱴᱟᱞ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
ᱤᱧ ᱱᱚᱣᱟᱧ ᱦᱟᱛᱟᱣᱟ	मैं इसे ले लूँगा
ᱡᱟᱹᱨᱩᱢ ᱢᱟᱦᱟᱸ	शुक्रवार
मैं बस देख रहा हूँ	ᱤᱧ ᱫᱚ ᱱᱤᱛ ᱜᱮ ᱠᱚᱭᱚᱜ ᱠᱟᱱᱟᱹᱧ
ᱢᱚᱬᱮ	पांच
ᱡᱚᱡᱚᱢ ᱥᱮᱫ ᱟᱹᱪᱩᱨᱚᱜ ᱢᱮ	दाएं मुड़ें
बाएँ मुड़ें	ᱞᱮᱸᱜᱟ ᱥᱮᱫ ᱟᱹᱪᱩᱨᱚᱜ ᱢᱮ
ᱵᱟᱨ	दो
ᱵᱚᱱᱫᱚ	बंद
ᱤᱧ ᱱᱚᱸᱰᱮ ᱪᱷᱩᱴᱤ ᱨᱮ ᱢᱤᱱᱟᱹᱧᱟ	मैं यहां छुट्टी पर हूँ
नमस्ते	ᱡᱚᱦᱟᱨ
ᱜᱚᱲᱚ	मदद
कॉफ़ी	ᱠᱚᱯᱷᱤ
तीन	ᱯᱮ
सुप्रभात	ᱥᱟᱹᱜᱩᱱ ᱥᱮᱛᱟᱜ
ᱢᱤᱫ ᱦᱟᱡᱟᱨ	एक हजार
बधाई हो	ᱥᱟᱨᱦᱟᱣ ᱦᱩᱭᱩᱜ ᱢᱟ
ᱤᱧ ᱚᱠᱟ ᱠᱷᱚᱱ ᱴᱤᱠᱤᱴ ᱠᱤᱨᱤᱧ ᱫᱟᱲᱮᱭᱟᱜᱼᱟᱹᱧ?	मैं टिकट कहाँ से खरीद सकता हूँ?
ᱵᱚᱞᱚᱱ ᱰᱟᱦᱟᱨ	प्रवेश
ᱤᱧ ᱤᱠᱟᱹᱧ ᱠᱷᱚᱡᱚᱜ ᱠᱟᱱᱟ	मुझे खेद है
ᱪᱮᱫ ᱦᱚᱸ ᱮᱴᱠᱮᱴᱚᱬᱮ ᱵᱟᱹᱱᱩᱜᱼᱟ	कोई समस्या नहीं
ᱜᱟᱯᱟ	कल
आपका नाम क्या है?	ᱟᱢᱟᱜ ᱧᱩᱛᱩᱢ ᱪᱮᱫ?
क्या पैदल चलना सुरक्षित है?	ᱪᱮᱫ ᱱᱚᱣᱟ ᱛᱟᱲᱟᱢ ᱞᱟᱹᱜᱤᱫ ᱨᱚᱯᱟ ᱜᱮᱭᱟ?
मुझे मदद चाहिए	ᱤᱧ ᱜᱚᱲᱚ ᱞᱟᱹᱠᱛᱤᱭᱟᱹᱧ ᱠᱟᱱᱟ
यहाँ दर्द होता है	ᱱᱚᱸᱰᱮ ᱦᱟᱹᱥᱩ ᱢᱮᱱᱟᱜᱼᱟ
ᱥᱟᱹᱜᱩᱱ ᱫᱟᱨᱟᱢ	स्वागत है
ᱡᱚᱦᱟᱨ	नमस्ते
ᱫᱟᱜ, ᱫᱟᱭᱟ ᱠᱟᱛᱮ	पानी, कृपया
ᱱᱤᱛᱚᱜ	अभी
ᱤᱨᱟᱹᱞ	आठ
सोमवार	ᱚᱛᱮ ᱢᱟᱦᱟᱸ
आपका दिन शुभ हो	ᱟᱢᱟᱜ ᱫᱤᱱ ᱱᱟᱯᱟᱭ ᱛᱟᱦᱮᱱ ᱢᱟ
ᱤᱧ ᱫᱚ ᱡᱚᱢᱟᱜ ᱠᱷᱚᱱ ᱮᱞᱟᱨᱡᱤ ᱢᱮᱱᱟᱜ ᱛᱤᱧᱟ	मुझे खाने से एलर्जी है
बिल, कृपया	ᱵᱤᱞ, ᱫᱟᱭᱟ ᱠᱟᱛᱮ
ᱦᱮᱸ	हाँ
कृपया दो लोगों के लिए एक टेबल	ᱵᱟᱨ ᱦᱚᱲ ᱞᱟᱹᱜᱤᱫ ᱢᱤᱫ ᱴᱮᱵᱩᱞ, ᱫᱟᱭᱟ ᱠᱟᱛᱮ
ᱴᱨᱮᱱ ᱥᱴᱮᱥᱚᱱ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?	रेलवे स्टेशन कहां है?
मुझे खेद है	ᱤᱧ ᱤᱠᱟᱹᱧ ᱠᱷᱚᱡᱚᱜ ᱠᱟᱱᱟ
क्या आप अंग्रेज़ी बोलते हैं?	ᱪᱮᱫ ᱟᱢ ᱤᱝᱨᱟᱡᱤ ᱨᱚᱲ ᱫᱟᱲᱮᱭᱟᱜ ᱠᱟᱱᱟᱢ?
मैं यहां काम के लिए हूँ	ᱤᱧ ᱱᱚᱸᱰᱮ ᱠᱟᱹᱢᱤ ᱞᱟᱹᱜᱤᱫ ᱢᱤᱱᱟᱹᱧᱟ
पांच	ᱢᱚᱬᱮ
ᱪᱟ	चाय
मुझे समझ नहीं आता	ᱤᱧ ᱵᱟᱹᱧ ᱵᱩᱡᱷᱟᱹᱣ ᱫᱟᱲᱮᱭᱟᱜ ᱠᱟᱱᱟ
ᱟᱢᱟᱜ ᱥᱟᱹᱜᱩᱱ ᱫᱟᱨᱟᱢ	आपका स्वागत है
चाय	ᱪᱟ
अलविदा	ᱥᱟᱹᱜᱩᱱ ᱡᱚᱦᱟᱨ
ᱦᱚᱞᱟ	कल
कल मिलते हैं	ᱜᱟᱯᱟ ᱞᱟᱝ ᱧᱟᱯᱟᱢᱚᱜᱼᱟ
ᱡᱷᱤᱡᱽ ᱢᱮ	खुला
ᱠᱚᱯᱷᱤ	कॉफ़ी
ᱤᱧ ᱵᱩᱡᱷᱟᱹᱣ ᱮᱫᱟᱹᱧ	मैं समझता हूँ
ᱤᱧ ᱡᱤᱞ ᱵᱟᱹᱧ ᱡᱚᱢ ᱮᱫᱟ	मैं मांस नहीं खाता
खुला	ᱡᱷᱤᱡᱽ ᱢᱮ
ᱥᱟᱹᱜᱩᱱ ᱡᱚᱦᱟᱨ	अलविदा
ᱤᱧ ᱜᱚᱲᱚ ᱞᱟᱹᱠᱛᱤᱭᱟᱹᱧ ᱠᱟᱱᱟ	मुझे मदद चाहिए
ᱢᱤᱫ	एक
ᱤᱧ ᱴᱷᱤᱠ ᱜᱮᱭᱟᱹᱧ, ᱟᱭᱢᱟ ᱥᱟᱨᱦᱟᱣ	मैं ठीक हूँ, धन्यवाद
कल	ᱦᱚᱞᱟ
ᱥᱤᱸᱜᱟᱹᱲ ᱨᱮ	शाम को
बाथरूम कहाँ है?	ᱵᱟᱛᱷᱨᱩᱢ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
टिकट कितनी है?	ᱴᱤᱠᱤᱴ ᱫᱚ ᱛᱤᱱᱟᱹᱜ ᱜᱟᱱ?
क्या समय हो गया है?	ᱱᱤᱛ ᱛᱤᱱᱟᱹᱜ ᱚᱠᱛᱚ ᱦᱩᱭ ᱟᱠᱟᱱᱟ?
ᱫᱟᱭᱟ ᱠᱟᱛᱮ ᱱᱚᱣᱟ ᱚᱞ ᱢᱮ	कृपया इसे लिख लें
ᱯᱮ	तीन
दो	ᱵᱟᱨ
सात	ᱮᱭᱟᱭ
शुभ रात्रि	ᱥᱟᱹᱜᱩᱱ ᱧᱤᱫᱟᱹ
ᱥᱟᱹᱜᱩᱱ ᱛᱟᱨᱟᱥᱤᱧ	शुभ दोपहर
मैं ठीक हूँ, धन्यवाद	ᱤᱧ ᱴᱷᱤᱠ ᱜᱮᱭᱟᱹᱧ, ᱟᱭᱢᱟ ᱥᱟᱨᱦᱟᱣ
आठ	ᱤᱨᱟᱹᱞ
क्षमा करें	ᱤᱠᱟᱹ ᱠᱟᱹᱧ ᱢᱮ
ᱚᱰᱚᱠᱚᱜ ᱢᱮ	बाहर निकलें
ᱯᱷᱟᱨᱢᱟᱥᱭ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?	औषधालय कहां है?
इसका क्या मतलब है?	ᱱᱚᱣᱟ ᱨᱮᱭᱟᱜ ᱢᱮᱱᱮᱛ ᱪᱮᱫ ᱠᱟᱱᱟ?
ᱟᱢᱟᱜ ᱛᱤᱱᱮᱜ ᱵᱚᱭᱮᱥ ᱦᱩᱭᱩᱜ ᱠᱟᱱ ᱛᱟᱢᱟ?	आपकी आयु कितनी है?
ᱥᱮᱛᱟᱜ ᱨᱮ	सुबह में
ᱫᱟᱭᱟ ᱠᱟᱛᱮ ᱵᱟᱹᱭ ᱵᱟᱹᱭ ᱛᱮ ᱨᱚᱲ ᱢᱮ	कृपया धीरे बोलें
ᱮᱭᱟᱭ	सात
मुझे भूख लगी है	ᱤᱧ ᱨᱮᱸᱜᱮᱡ ᱢᱤᱱᱟᱹᱧᱟ
ᱴᱤᱠᱤᱴ ᱫᱚ ᱛᱤᱱᱟᱹᱜ ᱜᱟᱱ?	टिकट कितनी है?
ᱛᱟᱭᱚᱢ ᱛᱮ	बाद में
आपकी आयु कितनी है?	ᱟᱢᱟᱜ ᱛᱤᱱᱮᱜ ᱵᱚᱭᱮᱥ ᱦᱩᱭᱩᱜ ᱠᱟᱱ ᱛᱟᱢᱟ?
छह	ᱛᱩᱨᱩᱭ
आप कहाँ से हैं?	ᱟᱢ ᱚᱠᱟ ᱨᱮᱱ ᱠᱟᱱᱟᱢ?
मैं एक विद्यार्थी हूँ	ᱤᱧ ᱫᱚ ᱢᱤᱫ ᱯᱟᱹᱴᱷᱩᱣᱟᱹ ᱠᱟᱱᱟᱹᱧ
ᱟᱢᱟᱜ ᱧᱩᱛᱩᱢ ᱪᱮᱫ?	आपका नाम क्या है?
ᱵᱟᱡᱟᱨ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?	बाज़ार कहाँ है?
ᱢᱤᱫ ᱴᱟᱲᱟᱝ	एक घंटा
मुझे नहीं पता	ᱮᱧ ᱫᱚ ᱵᱟᱝ ᱤᱧ ᱵᱟᱰᱟᱭᱟ
ᱟᱢ ᱪᱮᱫ ᱥᱚᱞᱦᱟᱢ ᱮᱢᱚᱜ ᱠᱟᱱᱟ?	आप क्या सिफ़ारिश करते हैं?
एक सौ	ᱢᱤᱫ ᱥᱟᱭ
ᱤᱧ ᱢᱤᱫ ᱴᱮᱠᱥᱤ ᱞᱟᱹᱠᱛᱤᱭᱟᱹᱧ ᱠᱟᱱᱟ	मुझे टैक्सी चाहिए
ᱫᱟᱭᱟ ᱠᱟᱛᱮ	कृपया
एक हजार	ᱢᱤᱫ ᱦᱟᱡᱟᱨ
यह निकट है	ᱱᱚᱣᱟ ᱫᱚ ᱥᱩᱨ ᱨᱮ ᱜᱮᱭᱟ
ᱥᱤᱫᱷᱟᱹ ᱞᱟᱦᱟ ᱥᱮᱱᱚᱜ ᱢᱮ	सीधे आगे बढ़ें
सुबह में	ᱥᱮᱛᱟᱜ ᱨᱮ
शुभकामनाएँ	ᱟᱭᱢᱟ ᱥᱟᱨᱦᱟᱣ
क्या आप मेरी मदद कर सकते हैं?	ᱪᱮᱫ ᱟᱢ ᱤᱧᱮᱢ ᱜᱚᱲᱚ ᱟᱹᱧᱟ?
मुझे टैक्सी चाहिए	ᱤᱧ ᱢᱤᱫ ᱴᱮᱠᱥᱤ ᱞᱟᱹᱠᱛᱤᱭᱟᱹᱧ ᱠᱟᱱᱟ
ᱤᱧ ᱱᱚᱣᱟ ᱠᱩᱥᱤᱭᱟᱜ ᱠᱟᱱᱟᱹᱧ	मैं यह चाहूंगा
अवश्य	ᱥᱟᱨᱤ ᱜᱮ
मैं सीख रहा हूँ	ᱤᱧ ᱪᱮᱫᱚᱜ ᱠᱟᱱᱟᱹᱧ
आप कैसे हैं?	ᱟᱢ ᱪᱮᱫ ᱞᱮᱠᱟ ᱢᱮᱱᱟᱢᱟ?
ᱥᱟᱨᱤ ᱜᱮ	अवश्य
औषधालय कहां है?	ᱯᱷᱟᱨᱢᱟᱥᱭ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
ᱮᱧ ᱫᱚ ᱵᱟᱝ ᱤᱧ ᱵᱟᱰᱟᱭᱟ	मुझे नहीं पता
रोटी	ᱯᱤᱴᱷᱟᱹ
ᱪᱮᱫ ᱥᱩᱨ ᱨᱮ ᱢᱤᱫ ᱦᱚᱥᱯᱤᱴᱟᱞ ᱢᱮᱱᱟᱜᱼᱟ?	क्या आस-पास कोई अस्पताल है?
बाद में	ᱛᱟᱭᱚᱢ ᱛᱮ
कल	ᱜᱟᱯᱟ
शुभ संध्या	ᱥᱟᱹᱜᱩᱱ ᱥᱤᱸᱜᱟᱹᱲ
ᱟᱭᱢᱟ ᱥᱟᱨᱦᱟᱣ	धन्यवाद
मैं मांस नहीं खाता	ᱤᱧ ᱡᱤᱞ ᱵᱟᱹᱧ ᱡᱚᱢ ᱮᱫᱟ
मैं यहां छुट्टी पर हूँ	ᱤᱧ ᱱᱚᱸᱰᱮ ᱪᱷᱩᱴᱤ ᱨᱮ ᱢᱤᱱᱟᱹᱧᱟ
यह दूर है	ᱱᱚᱶᱟ ᱫᱚ ᱥᱟᱝᱜᱤᱧ ᱜᱮᱭᱟ
मैं यह चाहूंगा	ᱤᱧ ᱱᱚᱣᱟ ᱠᱩᱥᱤᱭᱟᱜ ᱠᱟᱱᱟᱹᱧ
ᱵᱟᱝ	नहीं
ᱮᱭᱟᱨᱯᱚᱨᱴ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?	हवाई अड्डा कहाँ है?
ᱥᱟᱹᱜᱩᱱ ᱧᱤᱫᱟᱹ	शुभ रात्रि
