train_santalimale_00011	ᱥᱟᱱᱛᱟᱲ ᱦᱚᱲᱠᱚ ᱫᱚ ᱟᱥᱚᱞ ᱛᱮ ᱫᱚ ᱥᱟᱨᱱᱟ ᱫᱷᱚᱨᱚᱢ ᱢᱟᱱᱟᱣ ᱵᱟᱛᱟᱣ ᱦᱚᱲ ᱠᱟᱱᱟ ᱵᱚᱱ, ᱥᱟᱨᱱᱟ ᱫᱷᱚᱨᱚᱢ ᱫᱚ ᱡᱮᱛᱮᱠᱷᱚᱱ ᱢᱟᱨᱮ ᱫᱷᱚᱨᱚᱢ ᱠᱟᱱᱟ।
train_santalimale_00012	ᱱᱚᱣᱟ ᱫᱷᱚᱨᱚᱢ ᱫᱚ ᱯᱤᱲᱦᱤ ᱪᱮᱛᱟᱱ ᱯᱤᱲᱦᱤ ᱠᱷᱚᱱ ᱢᱟᱱᱟᱣ ᱵᱟᱛᱟᱣ ᱦᱤᱡᱩ: ᱠᱟᱱᱟ।
train_santalimale_00013	ᱥᱟᱨᱱᱟ ᱫᱷᱚᱨᱚᱢ ᱨᱮ ᱫᱚ ᱥᱤᱧ ᱪᱟᱸᱫᱚ, ᱧᱤᱫᱟ ᱪᱟᱸᱫᱚ, ᱫᱷᱟᱹᱨᱛᱤ, ᱚᱫᱼᱟ, ᱦᱟᱥᱟ, ᱵᱤᱨ ᱵᱩᱨᱩ, ᱫᱟᱨᱮ, ᱫᱷᱤᱨᱤ, ᱮᱢᱟᱱ ᱨᱮ ᱯᱟᱹᱛᱭᱟᱹᱣ ᱫᱚᱦᱚ ᱠᱟᱛᱮ ᱜᱮ ᱫᱮᱵᱟ ᱥᱮᱵᱟᱭᱟᱵᱚᱱ।
train_santalimale_00014	ᱢᱟᱨᱟᱝ ᱵᱩᱨᱩ, ᱡᱟᱦᱮᱨ ᱟᱭᱚ, ᱜᱚᱥᱟᱭ, ᱢᱚᱲᱮᱹᱠᱚ, ᱛᱩᱨᱩᱤᱠᱚ, ᱞᱤᱴᱟᱹ, ᱟᱨ ᱦᱟᱯᱲᱟᱹᱢ ᱠᱚ ᱫᱚ ᱥᱟᱱᱟᱢ ᱠᱷᱚᱱ ᱫᱟᱲᱮᱹ, ᱥᱟᱱᱟᱢᱴᱷᱮᱱ ᱢᱮᱱᱟᱷᱠᱚᱣᱟ, ᱟᱨ ᱥᱟᱱᱟᱢ ᱠᱷᱚᱱ ᱥᱮᱸᱲᱟᱹ, ᱢᱚᱱᱮ ᱠᱟᱛᱮ ᱜᱮ ᱵᱚᱱ ᱢᱟᱱᱟᱣ ᱵᱟᱛᱟᱣᱮᱫᱼᱟ ᱠᱚᱣᱟ।
train_santalimale_00015	ᱱᱩᱠᱩ ᱪᱮᱛᱚᱱ ᱨᱮᱜᱮ ᱥᱟᱱᱛᱟᱲᱠᱚᱣᱟ ᱫᱚ ᱯᱟᱹᱛᱭᱟᱹᱣ ᱢᱮᱱᱟᱷ ᱟ।
train_santalimale_00016	ᱥᱟᱱᱛᱟᱲ ᱠᱚᱣᱟ: ᱞᱮᱜ, ᱟᱹᱨᱤ ᱪᱟᱞᱤ ᱱᱤᱭᱚᱢ ᱫᱷᱚᱨᱚᱢ ᱢᱟᱱᱟᱣ ᱵᱟᱛᱟᱣ ᱫᱚ ᱟᱹᱰᱤ ᱜᱮ ᱱᱤᱨᱞᱟᱹ ᱱᱤᱯᱷᱩᱴ ᱢᱮᱱᱟᱷ ᱟ।
train_santalimale_00017	ᱥᱟᱱᱛᱟᱲ ᱥᱚᱢᱟᱡ ᱥᱮ ᱥᱟᱸᱣᱛᱟ ᱫᱚ ᱠᱚᱲᱟᱹᱵᱚᱸᱥ ᱥᱟᱸᱣᱛᱟ ᱠᱟᱱᱟ।
train_santalimale_00018	ᱚᱲᱟᱹ: ᱜᱷᱟᱨᱚᱸᱡᱼᱟ ᱨᱮᱱ ᱢᱟᱞᱤᱠ ᱠᱚ ᱠᱚᱲᱟᱹᱜᱮᱠᱚ ᱦᱭᱩ: ᱟ।
train_santalimale_00019	ᱚᱱᱟᱛᱮ ᱠᱩᱲᱤ ᱦᱚᱯᱚᱱ ᱠᱷᱚᱱ ᱠᱚᱲᱟᱹ ᱦᱚᱯᱚᱱᱟ: ᱦᱚᱠ ᱫᱚ ᱵᱟᱹᱲᱛᱤ ᱜᱮᱭᱟ ᱚᱫᱼᱟ ᱦᱟᱥᱟᱨᱮ, ᱵᱚᱸᱜᱟ ᱫᱮᱣᱟ ᱥᱮᱣᱟ ᱨᱮ, ᱟᱨ ᱟᱪᱟᱨᱚᱵᱤᱪᱟᱨ ᱨᱮ।
train_santalimale_00020	ᱥᱟᱱᱛᱟᱲ ᱥᱟᱸᱣᱛᱟ ᱨᱮ ᱫᱚ ᱠᱚᱲᱟᱹ ᱦᱚᱯᱚᱱ ᱜᱮ ᱜᱚᱱᱯᱚᱱ ᱴᱟᱠᱟ ᱫᱚ ᱮᱢ ᱦᱩᱭᱩ: ᱟ।
train_santalimale_00021	ᱵᱟᱵᱼᱟᱞᱟ ᱵᱮᱦᱟᱹ ᱨᱮ ᱫᱚ ᱢᱤᱫᱼᱟ ᱯᱟᱹᱨᱤᱥ ᱦᱚᱲ ᱫᱚ ᱵᱟᱝᱠᱚ ᱵᱟᱵᱼᱟᱞᱟ: ᱟ।
train_santalimale_00022	ᱢᱤᱛ ᱵᱟᱨ ᱯᱟᱹᱨᱤᱥ ᱛᱟᱞᱟᱨᱮ ᱥᱟᱱᱛᱟᱲ ᱦᱚᱲ ᱦᱚᱸ ᱮᱴᱟ: ᱯᱟᱹᱨᱤᱥᱠᱚ ᱥᱟᱸᱣ ᱫᱚ, ᱥᱮᱫᱟᱭ ᱠᱷᱚᱱ ᱵᱟᱵᱼᱟᱞᱟ ᱢᱟᱱᱟ ᱢᱮᱱᱟ: ᱟ।
train_santalimale_00023	ᱚᱱᱟ ᱠᱚ ᱫᱚ ᱱᱤᱛ ᱦᱚᱸ ᱥᱟᱸᱣᱛᱟ ᱨᱮ ᱢᱟᱱᱟᱣ ᱵᱟᱛᱟᱣ ᱦᱤᱡᱩᱷ ᱠᱟᱱᱟ।
train_santalimale_00024	ᱥᱟᱱᱛᱟᱲ ᱦᱚᱲᱠᱚᱣᱟᱷ ᱫᱚ ᱜᱮᱞᱵᱟᱨ ᱯᱟᱹᱨᱤᱥ ᱢᱮᱱᱟᱷ ᱟ।
train_santalimale_00025	ᱚᱱᱟᱠᱚ ᱫᱚ ᱠᱟᱱᱟ, ᱦᱟᱸᱥᱫᱟ:, ᱢᱟᱹᱨᱰᱤ, ᱥᱚᱨᱮᱱ, ᱦᱮᱢᱵᱨᱚᱢ, ᱴᱩᱰᱩ, ᱠᱤᱥᱠᱩ, ᱵᱟᱥᱠᱮ, ᱵᱮᱥᱨᱟ, ᱪᱚᱸᱲᱮᱹ, ᱯᱟᱹᱣᱚᱨᱤᱭᱟ, ᱜᱚᱸᱰᱣᱟᱨ, ᱢᱩᱨᱢᱩ।
train_santalimale_00026	ᱱᱩᱠᱩ ᱯᱟᱹᱨᱤᱥ ᱢᱩᱫ ᱨᱮ ᱯᱟᱹᱣᱚᱨᱤᱭᱟ, ᱜᱚᱸᱰᱣᱟᱨ, ᱵᱮᱫᱤᱭᱟ ᱟᱨ ᱪᱚᱸᱲᱮᱹ ᱯᱟᱹᱨᱤᱥᱠᱚ ᱫᱚ ᱮᱴᱟ: ᱯᱟᱹᱨᱤᱥ ᱨᱮᱠᱚ ᱵᱚᱞᱚᱱ ᱠᱟᱱᱟ ᱟᱨ ᱠᱚ ᱢᱮᱥᱟ ᱢᱤᱥᱤ: ᱠᱟᱱᱟ।
train_santalimale_00027	ᱥᱟᱱᱛᱟᱲ ᱦᱚᱲᱠᱚᱣᱟᱷ ᱫᱚ ᱟᱯᱱᱟᱨᱟᱷ ᱥᱟᱥᱚᱱ ᱛᱚᱸᱛᱨ ᱢᱮᱱᱟ: ᱟ।
train_santalimale_00028	ᱟᱹᱛᱩ ᱨᱮᱱ ᱯᱨᱫᱷᱟᱱ ᱫᱚ ᱢᱟᱸᱡᱷᱤ ᱠᱟᱱᱟᱭ।
train_santalimale_00029	ᱢᱟᱸᱡᱷᱤ ᱜᱚᱰᱚ ᱞᱟᱹᱜᱤᱫᱼᱟ ᱛᱮ ᱯᱟᱨᱟᱱᱤᱠ ᱟᱨ ᱡᱚᱜ ᱢᱟᱸᱡᱷᱤ ᱠᱤᱱ ᱛᱟᱸᱦᱮᱸᱱᱟ।
train_santalimale_00030	ᱟᱹᱛᱩ ᱨᱮᱱ ᱵᱚᱸᱜᱟ ᱫᱮᱵᱟᱥᱮᱵᱟ ᱞᱟᱹᱜᱤᱫᱼᱟ ᱛᱮᱫᱚ ᱱᱟᱭᱠᱮ ᱛᱟᱸᱦᱮᱸᱱᱟᱭ।
train_santalimale_00031	ᱱᱟᱭᱠᱮ ᱜᱚᱲᱚ ᱞᱟᱹᱜᱤᱫᱼᱟ ᱫᱚ ᱠᱩᱲᱟᱹᱢ ᱱᱟᱭᱠᱮ ᱛᱟᱸᱦᱮᱸᱱᱟᱭ।
train_santalimale_00032	ᱟᱹᱛᱩ ᱵᱮᱱᱟᱣ ᱢᱟᱰᱟᱝ ᱫᱚ ᱜᱚᱨᱟᱢ ᱠᱚ ᱵᱮᱨᱮᱫᱟ।
train_santalimale_00033	ᱡᱟᱦᱟᱸ ᱯᱟᱹᱨᱤᱥ ᱨᱮᱱ ᱦᱚᱲ ᱜᱚᱨᱟᱢ ᱠᱚ ᱵᱮᱨᱮᱫᱟ, ᱚᱱᱟ ᱯᱟᱹᱨᱤᱥ ᱨᱮᱱ ᱜᱮ, ᱚᱱᱟ ᱟᱹᱛᱩ ᱨᱮᱱ ᱢᱟᱸᱡᱷᱤ ᱟᱨ ᱱᱟᱭᱠᱮ ᱫᱚ ᱠᱤᱱ ᱵᱮᱱᱟᱣ: ᱟ।
train_santalimale_00034	ᱟᱨ ᱟᱱᱟᱛᱮ ᱢᱟᱸᱡᱷᱤ ᱟᱨ ᱱᱟᱭᱠᱮ ᱯᱚᱫ ᱫᱚ ᱥᱟᱱᱟᱢ ᱟᱹᱛᱩ ᱨᱮᱱ ᱦᱚᱲ ᱠᱚᱣᱟ: ᱵᱚᱸᱥᱚᱜᱚᱫᱼᱟ ᱯᱚᱫ ᱠᱟᱱᱟ।
train_santalimale_00035	ᱵᱟᱨᱭᱟᱯᱮᱭᱟ ᱟᱹᱛᱩ ᱢᱤᱫᱼᱟᱠᱟᱛᱮ ᱢᱤᱫᱼᱟᱴᱟᱝ ᱢᱟᱯᱟᱡᱷᱤ ᱠᱚ ᱵᱮᱱᱟᱣ ᱮᱭᱟ।
train_santalimale_00036	ᱜᱮᱞᱵᱟᱨ ᱜᱚᱴᱟᱝ ᱟᱹᱛᱩ ᱢᱤᱫᱼᱟᱠᱟᱛᱮ ᱢᱤᱫᱼᱟᱴᱟᱝ ᱛᱚᱨᱚᱯ ᱵᱮᱱᱟᱣ ᱟᱠᱟᱱᱟ, ᱛᱚᱨᱚᱯᱨᱮᱱ ᱯᱨᱫᱷᱟᱱ ᱫᱚ ᱛᱚᱨᱚᱯ ᱯᱟᱨᱜᱟᱱᱟᱭ ᱛᱟᱸᱦᱮᱸᱱᱟ।
train_santalimale_00037	ᱜᱮᱞᱵᱟᱨ ᱛᱚᱨᱚᱯ ᱢᱤᱫᱼᱟ ᱠᱟᱛᱮ ᱢᱤᱫᱼᱟᱴᱟᱝ ᱫᱤᱥᱚᱢ ᱯᱟᱨᱜᱟᱱᱟᱭ ᱛᱟᱸᱦᱮᱸᱱᱟ।
train_santalimale_00038	ᱱᱚᱣᱟ ᱱᱤᱭᱚᱢ ᱜᱮ ᱥᱟᱸᱣᱛᱟ ᱨᱮ ᱦᱮᱡᱼᱟ ᱦᱤᱡᱩᱷ ᱠᱟᱱᱟ।
train_santalimale_00039	ᱵᱤᱪᱟᱨᱚᱟᱪᱟᱨ ᱠᱟᱹᱢᱤ ᱫᱚ ᱡᱮᱛᱮ ᱠᱷᱚᱱ ᱢᱩᱪᱟᱫᱼᱟ ᱨᱮ ᱫᱚ ᱞᱚ ᱵᱤᱨ ᱵᱟᱤᱥᱤ ᱢᱮᱱᱟ: ᱟ।
train_santalimale_00040	ᱱᱚᱣᱟ ᱞᱚ ᱵᱤᱨ ᱣᱤᱪᱟᱨ ᱫᱚ ᱱᱟᱭᱠᱮ ᱟᱨ ᱥᱮᱸᱫᱨᱟ ᱵᱤᱨ ᱨᱮᱱ ᱥᱤᱠᱚᱨᱤᱭᱟ ᱠᱚ, ᱫᱚᱸᱜᱮᱲ ᱴᱟᱸᱰᱤ ᱨᱮ ᱠᱚ ᱵᱤᱪᱟᱨᱟ।
train_santalimale_00041	ᱱᱚᱟ ᱫᱚ ᱢᱩᱪᱟᱫᱼᱟ ᱵᱤᱪᱟᱨ ᱠᱟᱱᱟ।
train_santalimale_00042	ᱡᱟᱦᱟᱸᱭ ᱵᱟᱭ ᱵᱟᱛᱟᱣᱟ, ᱩᱱᱤ ᱫᱚ ᱥᱟᱸᱣᱛᱟ ᱠᱷᱚᱱ ᱠᱚ ᱚᱪᱚ: ᱮᱭᱟ।
train_santalimale_00043	ᱚᱱᱟ ᱫᱚ ᱵᱤᱴᱞᱟᱦᱟ ᱠᱚ ᱢᱮᱛᱟ: ᱟ।
train_santalimale_00044	ᱟᱹᱛᱩ ᱨᱮᱱᱟ: ᱵᱤᱪᱟᱨ ᱡᱟᱸᱦᱟᱭ ᱦᱚᱲ ᱵᱟᱭ ᱵᱟᱛᱟᱣᱟ ᱩᱱᱤ ᱫᱚᱠᱚ ᱮᱠᱟᱜᱷᱩᱨᱤᱭᱟ ᱮᱭᱟ।
train_santalimale_00045	ᱚᱱᱟᱛᱮ ᱥᱟᱱᱛᱟᱲ ᱥᱟᱸᱣᱛᱟ ᱨᱮ ᱫᱚ ᱥᱟᱱᱛᱟᱲ ᱦᱚᱲ ᱠᱚᱣᱟᱷ ᱟᱪᱟᱨᱚᱣᱤᱪᱟᱨ ᱢᱮᱱᱟ: ᱟ ᱟᱨ ᱥᱟᱱᱟᱢ ᱦᱚᱲᱠᱚ ᱢᱟᱱᱟᱣ ᱵᱟᱛᱟᱣᱚᱮᱫᱟ।
train_santalimale_00046	ᱥᱟᱱᱛᱟᱲ ᱦᱚᱲᱠᱚ ᱫᱚ ᱫᱷᱟᱹᱨᱛᱤ ᱨᱮᱱᱟ: ᱫᱟᱨᱮ, ᱫᱷᱤᱨᱤ, ᱚᱛ, ᱦᱟᱥᱟ,ᱜᱟᱰᱟ ᱢᱩᱰᱩ, ᱦᱩᱰᱩ, ᱪᱟᱣᱞᱮ, ᱟᱱᱟᱡ, ᱵᱟᱦᱟ, ᱡᱚ, ᱥᱟᱠᱟᱢ ᱜᱮ ᱠᱚ ᱵᱚᱸᱜᱟᱭᱟ।
train_santalimale_00047	ᱧᱮᱞᱮᱠᱟ ᱵᱟᱦᱟ ᱵᱚᱸᱜᱟ ᱨᱮ ᱫᱚ ᱥᱟᱨᱡᱚᱢ ᱵᱟᱦᱟ, ᱢᱟᱛᱠᱚᱢ ᱜᱮᱞ ᱠᱚ ᱫᱮᱣᱟ ᱥᱮᱵᱟᱭᱟ।
train_santalimale_00048	ᱚᱱᱠᱟᱜᱮ ᱡᱟᱱᱟᱢᱪᱷᱟᱹᱴᱭᱟᱹᱨ ᱨᱮ ᱫᱚ ᱟᱫᱼᱟ ᱱᱟ ᱥᱟᱠᱟᱢ, ᱱᱤᱢ ᱫᱟ ᱢᱟᱹᱰᱤ, ᱥᱚᱥᱚ ᱡᱚ ᱫᱟᱷ, ᱵᱟᱪᱠᱚᱢ ᱜᱷᱟᱸᱥ।
train_santalimale_00049	ᱵᱟᱵᱼᱟᱞᱟ ᱵᱮᱦᱟ ᱨᱮ ᱫᱚ ᱩᱞᱲᱟᱹᱨ, ᱢᱟᱛᱠᱚᱢ ᱲᱟᱹᱨ, ᱥᱮᱠᱨᱮᱡᱼᱟ ᱲᱟᱹᱨ, ᱥᱟᱨᱡᱚᱢ ᱥᱟᱠᱟᱢ।
train_santalimale_00050	ᱥᱟᱱᱛᱟᱲ ᱠᱚᱣᱟ: ᱮᱱᱮᱡᱼᱟ ᱥᱮᱨᱮᱧ, ᱨᱩᱨᱟᱦᱟ ᱦᱚᱸ ᱜᱮᱞᱵᱟᱨ ᱪᱟᱸᱫᱚ ᱨᱮ, ᱜᱮᱞᱵᱟᱨ ᱞᱮᱠᱟᱱᱟ: ᱢᱮᱱᱟ: ᱟ।
train_santalimale_00051	ᱮᱱᱮᱡᱼᱟ ᱥᱮᱨᱮᱧ, ᱨᱩ, ᱨᱟᱦᱟ ᱠᱚ ᱫᱚ ᱢᱚᱪᱟ ᱪᱮᱛᱟᱱ ᱢᱚᱪᱟ, ᱞᱩᱛᱩᱨ ᱪᱮᱛᱟᱱ ᱞᱩᱛᱩᱨ, ᱞᱟᱹᱤ ᱟᱨ ᱟᱧᱡᱚᱢ ᱦᱤᱡᱩᱷ ᱠᱟᱱᱟ।
train_santalimale_00052	ᱟᱨ ᱚᱱᱟᱠᱚ ᱜᱮ ᱯᱟᱹᱨᱟᱹᱵ ᱯᱩᱱᱟ ᱨᱮ ᱫᱚ ᱞᱟᱤᱟᱹᱜᱩ, ᱥᱮᱨᱮᱧ ᱟᱹᱜᱩ: ᱠᱟᱱᱟ, ᱥᱟᱱᱛᱟᱲ ᱥᱟᱸᱣᱛᱟ ᱨᱮ।
train_santalimale_00053	ᱱᱚᱣᱟ ᱥᱮᱫᱟᱭ ᱥᱮᱨᱮᱧ ᱠᱚ ᱫᱚ ᱥᱟᱱᱟᱢ ᱦᱚᱲ ᱴᱷᱮᱱ ᱢᱚᱪᱟᱨᱮ ᱢᱟᱣᱠᱷᱤᱠ ᱞᱮᱠᱟᱛᱮ ᱜᱮ ᱢᱮᱱᱟᱷᱟ।
train_santalimale_00054	ᱚᱱᱟᱛᱮ ᱱᱚᱣᱟ ᱥᱮᱨᱮᱧ ᱠᱚ ᱫᱚ ᱠᱟᱱᱟ, ᱟᱹᱛᱩ ᱚᱲᱟᱹ: ᱨᱮᱱᱟ: ᱟᱠᱤᱞ ᱜᱮᱭᱟᱱ।
train_santalimale_00055	ᱚᱠᱚᱭ: ᱠᱚ, ᱱᱚᱣᱟ ᱠᱚ ᱫᱚ ᱦᱚᱲ ᱵᱤᱨᱫᱟᱹ, ᱞᱚᱠ ᱣᱤᱫᱭᱟ ᱠᱚ ᱢᱮᱛᱟ: ᱟ।
train_santalimale_00056	ᱦᱚᱲ ᱥᱮᱨᱮᱧ ᱞᱮᱠᱟᱜᱮ ᱥᱟᱸᱣᱛᱟ ᱨᱮ ᱫᱚ ᱦᱚᱲᱚᱛᱷᱩᱛᱤ, ᱦᱚᱲᱠᱟᱛᱷᱟ, ᱦᱚᱲᱠᱟᱹᱦᱱᱤ, ᱵᱷᱮᱱᱛᱟ ᱠᱟᱛᱷᱟ, ᱞᱟᱹᱤᱪᱟᱞ ᱠᱟᱛᱷᱟ, ᱠᱩᱫᱩᱢ, ᱵᱟᱸᱠᱷᱮᱲ ᱚᱸᱲᱦᱮᱸ, ᱡᱷᱟᱹᱨᱱᱤ, ᱢᱟᱱᱛᱟᱨ, ᱥᱟᱸᱣᱛᱮ ᱮᱱᱮᱸᱡᱼᱟ, ᱨᱩ, ᱨᱟᱦᱟ ᱮᱢᱟᱱ ᱛᱮᱭᱟ: ᱢᱮᱱᱟ:ᱟ।
train_santalimale_00057	ᱥᱟᱱᱛᱟᱲ ᱠᱚᱣᱟ ᱮᱱᱮᱡᱼᱟ ᱥᱮᱨᱮᱧ, ᱨᱩ, ᱨᱟᱦᱟ ᱫᱚ ᱠᱟᱱᱟ ᱥᱮᱫᱟᱭ ᱦᱚᱲᱠᱚᱣᱟ: ᱨᱟᱹᱥᱠᱟᱹ ᱨᱮᱱᱟᱝ ᱮᱱᱮᱪ ᱥᱮᱨᱮᱧᱜᱮ।
train_santalimale_00058	ᱥᱮᱫᱟᱭ, ᱡᱟᱦᱟᱸᱛᱤᱥ ᱢᱟᱱᱣᱟ ᱠᱚᱣᱟ: ᱢᱚᱱᱮ ᱡᱤᱣᱤ ᱨᱮ ᱨᱟᱹᱥᱠᱟᱹ ᱥᱟᱨᱥᱟᱣ ᱞᱮᱱᱟ, ᱤᱱ ᱦᱤᱞᱚᱷ ᱠᱷᱚᱱ ᱜᱮ ᱦᱚᱲ ᱥᱟᱸᱣᱛᱟ ᱨᱮ ᱫᱚ ᱮᱱᱮᱡᱼᱟ ᱥᱮᱨᱮᱧ ᱨᱩᱨᱟᱦᱟᱠᱚ ᱮᱭᱦᱚᱵᱼᱟ ᱟᱠᱟᱱᱟ।
train_santalimale_00059	ᱱᱚᱣᱟ ᱦᱚᱲ ᱮᱱᱮᱡᱼᱟ ᱥᱮᱨᱮᱧ ᱥᱮ ᱢᱟᱨᱮ ᱨᱩ ᱨᱟᱦᱟ ᱨᱮ ᱫᱚ ᱢᱟᱱᱣᱟ ᱡᱤᱭᱚᱱ ᱨᱮᱱᱟ: ᱵᱷᱟᱣ ᱮ ᱞᱟᱹᱤ ᱥᱚᱫᱚᱨᱟ।
train_santalimale_00060	ᱡᱤᱵᱚᱱ ᱨᱮᱱᱟᱷ ᱵᱷᱟᱣ ᱮ ᱞᱟᱹᱤ ᱥᱚᱫᱚᱨᱟ।
train_santalimale_00061	ᱡᱤᱵᱚᱱ ᱨᱮᱱᱟ: ᱵᱷᱟᱣ ᱛᱮᱜᱮ ᱱᱤᱨᱞᱟᱹ ᱯᱷᱚᱴᱮᱞ ᱨᱟᱠᱟᱵᱼᱟ ᱟᱠᱟᱱᱟ।
train_santalimale_00062	ᱟᱨ ᱡᱤᱵᱚᱱ ᱨᱮᱱᱟᱷ ᱥᱟᱱᱟᱢ ᱨᱟᱹᱥᱠᱟᱹ, ᱵᱷᱟᱵᱱᱟ, ᱫᱩᱠ, ᱦᱟᱨᱠᱮᱫᱼᱟ ᱡᱷᱟᱞᱠᱟᱣ ᱨᱟᱠᱟᱵᱼᱟ ᱟᱠᱟᱱᱟ।
train_santalimale_00063	ᱦᱚᱲ ᱥᱮᱨᱮᱧ ᱨᱮ ᱫᱚ ᱟᱹᱰᱤ ᱞᱮᱠᱟᱱ, ᱨᱟᱥᱟ, ᱛᱟᱞ ᱟᱨ ᱨᱟᱦᱟ ᱛᱮ ᱛᱚᱱᱚᱞ ᱟᱠᱟᱱᱟ।
