ᱫᱚ  ᱫ ᱚ
ᱛᱟᱸᱦᱮᱸᱠᱟᱱᱟ।  ᱛ ᱟ ᱸ ᱦ ᱮ ᱸ ᱠ ᱟ ᱱ ᱟ ।
ᱴᱷᱮᱱ  ᱴ ᱷ ᱮ ᱱ
ᱛᱟᱭᱚᱢ  ᱛ ᱟ ᱭ ᱚ ᱢ
ᱠᱮᱫᱼᱟ  ᱠ ᱮ ᱫ ᱼ ᱟ
ᱛᱟᱞᱟ  ᱛ ᱟ ᱞ ᱟ
ᱠᱮᱫᱟ  ᱠ ᱮ ᱫ ᱟ
ᱟᱢ  ᱟ ᱢ
ᱜᱮᱭ  ᱜ ᱮ ᱭ
ᱠᱮᱫᱟ।  ᱠ ᱮ ᱫ ᱟ ।
ᱚᱠᱚᱭ  ᱚ ᱠ ᱚ ᱭ
ᱵᱩᱨᱩ  ᱵ ᱩ ᱨ ᱩ
ᱞᱮᱱ  ᱞ ᱮ ᱱ
ᱦᱮᱡᱼᱟ  ᱦ ᱮ ᱡ ᱼ ᱟ
ᱠᱟᱱᱟ  ᱠ ᱟ ᱱ ᱟ
ᱟᱠᱟᱫᱼᱟ  ᱟ ᱠ ᱟ ᱫ ᱼ ᱟ
ᱟᱧᱡᱚᱢ  ᱟ ᱧ ᱡ ᱚ ᱢ
ᱨᱮᱜᱮ  ᱨ ᱮ ᱜ ᱮ
ᱨᱮᱭ  ᱨ ᱮ ᱭ
ᱵᱟᱦᱟ  ᱵ ᱟ ᱦ ᱟ
ᱥᱟᱸᱣ  ᱥ ᱟ ᱸ ᱣ
ᱠᱟᱹᱢᱤ  ᱠ ᱟ ᱹ ᱢ ᱤ
ᱠᱟᱱᱟ।  ᱠ ᱟ ᱱ ᱟ ।
ᱡᱮ  ᱡ ᱮ
ᱛᱮᱜᱮ  ᱛ ᱮ ᱜ ᱮ
ᱫᱟᱨᱮ  ᱫ ᱟ ᱨ ᱮ
ᱡᱟᱦᱟᱸ  ᱡ ᱟ ᱦ ᱟ ᱸ
ᱡᱚᱢ  ᱡ ᱚ ᱢ
ᱯᱟᱲᱦᱟᱣ  ᱯ ᱟ ᱲ ᱦ ᱟ ᱣ
ᱵᱟᱰᱟᱭ  ᱵ ᱟ ᱰ ᱟ ᱭ
ᱨᱮᱱᱟ:  ᱨ ᱮ ᱱ ᱟ :
ᱮᱱ  ᱮ ᱱ
ᱟᱹᱛᱩ  ᱟ ᱹ ᱛ ᱩ
ᱫᱟᱜᱼᱟ  ᱫ ᱟ ᱜ ᱼ ᱟ
ᱤᱫᱤ  ᱤ ᱫ ᱤ
ᱵᱟᱵᱟ  ᱵ ᱟ ᱵ ᱟ
ᱜᱚᱫᱼᱟ  ᱜ ᱚ ᱫ ᱼ ᱟ
ᱡᱤᱭᱚᱱ  ᱡ ᱤ ᱭ ᱚ ᱱ
ᱚᱲᱟᱹ:  ᱚ ᱲ ᱟ ᱹ :
ᱵᱟᱹᱧ  ᱵ ᱟ ᱹ ᱧ
ᱥᱟᱱᱟᱢ  ᱥ ᱟ ᱱ ᱟ ᱢ
ᱥᱮ  ᱥ ᱮ
ᱮᱱᱠᱷᱟᱱ  ᱮ ᱱ ᱠ ᱷ ᱟ ᱱ
ᱦᱚᱭ  ᱦ ᱚ ᱭ
ᱪᱟᱞᱟᱜᱼᱟ  ᱪ ᱟ ᱞ ᱟ ᱜ ᱼ ᱟ
ᱪᱟᱸᱫᱚ  ᱪ ᱟ ᱸ ᱫ ᱚ
ᱪᱟᱞᱟᱣ  ᱪ ᱟ ᱞ ᱟ ᱣ
ᱵᱚᱭᱦᱟ  ᱵ ᱚ ᱭ ᱦ ᱟ
ᱛᱟᱭᱟ।  ᱛ ᱟ ᱭ ᱟ ।
ᱮᱱᱛᱮ  ᱮ ᱱ ᱛ ᱮ
ᱛᱮᱫᱼᱟ  ᱛ ᱮ ᱫ ᱼ ᱟ
ᱨᱩᱣᱟᱹᱲ  ᱨ ᱩ ᱣ ᱟ ᱹ ᱲ
ᱵᱟᱠᱚ  ᱵ ᱟ ᱠ ᱚ
ᱟᱠᱚ  ᱟ ᱠ ᱚ
ᱜᱚᱭᱚᱡᱼᱟ  ᱜ ᱚ ᱭ ᱚ ᱡ ᱼ ᱟ
ᱧᱩᱛᱩᱢ  ᱧ ᱩ ᱛ ᱩ ᱢ
ᱠᱮᱫᱟ,  ᱠ ᱮ ᱫ ᱟ ,
ᱦᱟᱲᱟᱹᱢ  ᱦ ᱟ ᱲ ᱟ ᱹ ᱢ
ᱨᱮᱦᱚᱸ  ᱨ ᱮ ᱦ ᱚ ᱸ
ᱥᱟᱸᱣᱛᱮ  ᱥ ᱟ ᱸ ᱣ ᱛ ᱮ
ᱫᱷᱟᱹᱨᱛᱤ  ᱫ ᱷ ᱟ ᱹ ᱨ ᱛ ᱤ
ᱟ  ᱟ
ᱮᱦᱚᱵᱼᱟ  ᱮ ᱦ ᱚ ᱵ ᱼ ᱟ
ᱥᱮᱡᱼᱟ  ᱥ ᱮ ᱡ ᱼ ᱟ
ᱧᱟᱯᱟᱢ  ᱧ ᱟ ᱯ ᱟ ᱢ
ᱦᱩᱫᱤᱥ  ᱦ ᱩ ᱫ ᱤ ᱥ
ᱠᱟᱱᱟ,  ᱠ ᱟ ᱱ ᱟ ,
ᱞᱟᱹᱤ  ᱞ ᱟ ᱹ ᱤ
ᱦᱚᱲᱢᱚ  ᱦ ᱚ ᱲ ᱢ ᱚ
ᱜᱟᱱ  ᱜ ᱟ ᱱ
ᱡᱚᱝ  ᱡ ᱚ ᱝ
ᱵᱟᱲᱟᱹ  ᱵ ᱟ ᱲ ᱟ ᱹ
ᱮᱱᱟ  ᱮ ᱱ ᱟ
ᱥᱮᱱ  ᱥ ᱮ ᱱ
ᱵᱟᱨ  ᱵ ᱟ ᱨ
ᱥᱟᱠᱟᱢ  ᱥ ᱟ ᱠ ᱟ ᱢ
ᱞᱮᱫᱼᱟ  ᱞ ᱮ ᱫ ᱼ ᱟ
ᱯᱤᱞᱪᱩ  ᱯ ᱤ ᱞ ᱪ ᱩ
ᱜᱚᱴᱟ  ᱜ ᱚ ᱴ ᱟ
ᱛᱮᱠᱚ  ᱛ ᱮ ᱠ ᱚ
ᱠᱩᱞᱤ  ᱠ ᱩ ᱞ ᱤ
ᱮᱢ  ᱮ ᱢ
ᱟᱭᱟᱜᱼᱟ  ᱟ ᱭ ᱟ ᱜ ᱼ ᱟ
ᱱᱟᱯᱟᱭ  ᱱ ᱟ ᱯ ᱟ ᱭ
ᱠᱟᱛᱮ,  ᱠ ᱟ ᱛ ᱮ ,
ᱯᱟᱹᱨᱟᱹᱵ  ᱯ ᱟ ᱹ ᱨ ᱟ ᱹ ᱵ
ᱩᱱᱚᱠᱤᱱ  ᱩ ᱱ ᱚ ᱠ ᱤ ᱱ
ᱦᱚᱸᱭ  ᱦ ᱚ ᱸ ᱭ
ᱤᱭᱟᱹᱛᱮ  ᱤ ᱭ ᱟ ᱹ ᱛ ᱮ
ᱤᱱᱟᱹ  ᱤ ᱱ ᱟ ᱹ
ᱥᱮᱫᱟᱭ  ᱥ ᱮ ᱫ ᱟ ᱭ
ᱜᱟᱞᱢᱟᱨᱟᱣ  ᱜ ᱟ ᱞ ᱢ ᱟ ᱨ ᱟ ᱣ
ᱮᱱᱮᱡᱼᱟ  ᱮ ᱱ ᱮ ᱡ ᱼ ᱟ
ᱪᱚ  ᱪ ᱚ
ᱢᱤᱫᱼᱟᱴᱟᱝ  ᱢ ᱤ ᱫ ᱼ ᱟ ᱴ ᱟ ᱝ
ᱜᱚ  ᱜ ᱚ
ᱵᱟᱝᱠᱚ  ᱵ ᱟ ᱝ ᱠ ᱚ
ᱵᱟᱵᱼᱟᱞᱟ  ᱵ ᱟ ᱵ ᱼ ᱟ ᱞ ᱟ
ᱛᱟᱦᱮᱸᱱ  ᱛ ᱟ ᱦ ᱮ ᱸ ᱱ
ᱨᱟᱡᱟ  ᱨ ᱟ ᱡ ᱟ
ᱨᱟᱠᱟᱵᱼᱟ  ᱨ ᱟ ᱠ ᱟ ᱵ ᱼ ᱟ
ᱥᱚᱱᱟ  ᱥ ᱚ ᱱ ᱟ
ᱥᱟᱸᱣᱛᱟ  ᱥ ᱟ ᱸ ᱣ ᱛ ᱟ
ᱪᱮᱛᱟᱱ  ᱪ ᱮ ᱛ ᱟ ᱱ
ᱟᱹᱜᱩ  ᱟ ᱹ ᱜ ᱩ
ᱵᱩᱲᱦᱤ  ᱵ ᱩ ᱲ ᱦ ᱤ
ᱠᱤᱥᱠᱩ  ᱠ ᱤ ᱥ ᱠ ᱩ
ᱜᱟᱛᱮ  ᱜ ᱟ ᱛ ᱮ
ᱚᱲᱟᱹᱜᱼᱟ  ᱚ ᱲ ᱟ ᱹ ᱜ ᱼ ᱟ
ᱚᱪᱚ  ᱚ ᱪ ᱚ
ᱨᱟᱱ  ᱨ ᱟ ᱱ
ᱫᱟᱠᱟ  ᱫ ᱟ ᱠ ᱟ
ᱥᱟᱢᱟᱝ  ᱥ ᱟ ᱢ ᱟ ᱝ
ᱠᱚᱭᱚᱜᱼᱟ  ᱠ ᱚ ᱭ ᱚ ᱜ ᱼ ᱟ
ᱵᱤᱨ  ᱵ ᱤ ᱨ
ᱜᱮᱭᱟ।  ᱜ ᱮ ᱭ ᱟ ।
ᱟ,  ᱟ ,
ᱛᱚᱵᱮ  ᱛ ᱚ ᱵ ᱮ
ᱜᱩᱨᱩ  ᱜ ᱩ ᱨ ᱩ
ᱟᱹᱠᱤᱱ  ᱟ ᱹ ᱠ ᱤ ᱱ
ᱱᱤᱛ  ᱱ ᱤ ᱛ
ᱩᱥᱟᱹᱨᱟ  ᱩ ᱥ ᱟ ᱹ ᱨ ᱟ
ᱠᱮᱫᱮᱭᱟ।  ᱠ ᱮ ᱫ ᱮ ᱭ ᱟ ।
ᱨᱮᱫᱚ  ᱨ ᱮ ᱫ ᱚ
ᱢᱚᱱ  ᱢ ᱚ ᱱ
ᱛᱟᱭ  ᱛ ᱟ ᱭ
ᱫᱟ:  ᱫ ᱟ :
ᱣᱟᱜᱼᱟ  ᱣ ᱟ ᱜ ᱼ ᱟ
ᱞᱮᱠᱟᱱ  ᱞ ᱮ ᱠ ᱟ ᱱ
ᱥᱟᱵᱼᱟ  ᱥ ᱟ ᱵ ᱼ ᱟ
ᱟᱲᱟᱝ  ᱟ ᱲ ᱟ ᱝ
ᱛᱷᱤᱨ  ᱛ ᱷ ᱤ ᱨ
ᱥᱟᱸᱜᱮ  ᱥ ᱟ ᱸ ᱜ ᱮ
ᱟᱫᱚ  ᱟ ᱫ ᱚ
ᱯᱟᱥᱮᱡᱼᱟ  ᱯ ᱟ ᱥ ᱮ ᱡ ᱼ ᱟ
ᱵᱟᱹᱱᱩᱜᱼᱟ  ᱵ ᱟ ᱹ ᱱ ᱩ ᱜ ᱼ ᱟ
ᱮᱫᱼᱟ  ᱮ ᱫ ᱼ ᱟ
ᱛᱤᱥ  ᱛ ᱤ ᱥ
ᱥᱮᱨᱮᱧ  ᱥ ᱮ ᱨ ᱮ ᱧ
ᱵᱟᱢ  ᱵ ᱟ ᱢ
ᱢᱟᱨᱟᱣ  ᱢ ᱟ ᱨ ᱟ ᱣ
ᱚᱱᱠᱟ  ᱚ ᱱ ᱠ ᱟ
ᱠᱟᱛᱷᱟᱭ  ᱠ ᱟ ᱛ ᱷ ᱟ ᱭ
ᱚᱠᱛᱮ  ᱚ ᱠ ᱛ ᱮ
ᱡᱤᱣᱤ  ᱡ ᱤ ᱣ ᱤ
ᱡᱚᱛᱚ  ᱡ ᱚ ᱛ ᱚ
ᱞᱟᱦᱟ  ᱞ ᱟ ᱦ ᱟ
ᱥᱤᱧ  ᱥ ᱤ ᱧ
ᱞᱮ  ᱞ ᱮ
ᱱᱟᱥᱮ  ᱱ ᱟ ᱥ ᱮ
ᱚ  ᱚ
ᱛ  ᱛ
ᱜ  ᱜ
ᱝ  ᱝ
ᱞ  ᱞ
ᱟ  ᱟ
ᱠ  ᱠ
ᱡ  ᱡ
ᱢ  ᱢ
ᱣ  ᱣ
ᱤ  ᱤ
ᱥ  ᱥ
ᱦ  ᱦ
ᱧ  ᱧ
ᱨ  ᱨ
ᱩ  ᱩ
ᱪ  ᱪ
ᱫ  ᱫ
ᱬ  ᱬ
ᱭ  ᱭ
ᱮ  ᱮ
ᱯ  ᱯ
ᱰ  ᱰ
ᱱ  ᱱ
ᱲ  ᱲ
ᱴ  ᱴ
ᱵ  ᱵ
ᱷ  ᱷ
ᱸ  ᱸ
ᱹ  ᱹ
ᱼ  ᱼ
