demo0001	यह नीला फर्श है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱚᱛ ᱠᱟᱱᱟ।
demo0055	यह फर्श अच्छा है।	ᱱᱚᱣᱟ ᱚᱛ ᱱᱟᱯᱟᱭ ᱜᱮᱭᱟ।
demo0056	प्रश्न कहाँ है?	ᱠᱩᱞᱤ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
demo0057	यह नीला स्कूल है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱥᱠᱩᱞ ᱠᱟᱱᱟ।
demo0058	यह नीला उत्तर है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱛᱮᱞᱟ ᱠᱟᱱᱟ।
demo0059	यह नीला पाठ है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱯᱟᱴᱷ ᱠᱟᱱᱟ।
demo0060	बस्ता कहाँ है?	ᱵᱟᱹᱜ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
demo0061	यह हरा पेन है।	ᱱᱚᱣᱟ ᱦᱟᱨᱟ ᱯᱮᱱ ᱠᱟᱱᱟ।
demo0062	स्लेट कहाँ है?	ᱥᱞᱮᱴ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
demo0063	यह लाल खेल है।	ᱱᱚᱣᱟ ᱞᱟᱞ ᱠᱷᱮᱞ ᱠᱟᱱᱟ।
demo0064	यह नीला बस्ता है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱵᱟᱹᱜ ᱠᱟᱱᱟ।
demo0065	यह पुराना पाठ है।	ᱱᱚᱣᱟ ᱢᱟᱨᱮ ᱯᱟᱴᱷ ᱠᱟᱱᱟ।
demo0066	यह चॉक अच्छा है।	ᱱᱚᱣᱟ ᱪᱟᱠ ᱱᱟᱯᱟᱭ ᱜᱮᱭᱟ।
demo0067	यह नीला मेज़ है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱴᱮᱵᱩᱞ ᱠᱟᱱᱟ।
demo0068	यह लाल विज्ञान है।	ᱱᱚᱣᱟ ᱞᱟᱞ ᱥᱟᱬᱮᱥ ᱠᱟᱱᱟ।
demo0069	यह नया कक्षा है।	ᱱᱚᱣᱟ ᱱᱟᱣᱟ ᱠᱞᱟᱥ ᱠᱟᱱᱟ।
demo0070	मेरे पास पेन है।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱮᱱ ᱢᱮᱱᱟᱜᱼᱟ।
demo0071	यह नीला गणित है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱮᱞᱠᱷᱟ ᱠᱟᱱᱟ।
demo0072	यह नया पाठ है।	ᱱᱚᱣᱟ ᱱᱟᱣᱟ ᱯᱟᱴᱷ ᱠᱟᱱᱟ।
demo0073	यह लाल अध्यापक है।	ᱱᱚᱣᱟ ᱞᱟᱞ ᱢᱟᱪᱮᱫ ᱠᱟᱱᱟ।
demo0074	यह नया स्कूल है।	ᱱᱚᱣᱟ ᱱᱟᱣᱟ ᱥᱠᱩᱞ ᱠᱟᱱᱟ।
demo0075	मेरे पास चॉक है।	ᱤᱧ ᱴᱷᱮᱱ ᱪᱟᱠ ᱢᱮᱱᱟᱜᱼᱟ।
demo0076	यह छोटा चॉक है।	ᱱᱚᱣᱟ ᱦᱩᱰᱤᱧ ᱪᱟᱠ ᱠᱟᱱᱟ।
demo0077	शब्द कहाँ है?	ᱥᱚᱵᱚᱫ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
demo0078	यह पुराना उत्तर है।	ᱱᱚᱣᱟ ᱢᱟᱨᱮ ᱛᱮᱞᱟ ᱠᱟᱱᱟ।
demo0079	शिक्षक कहाँ है?	ᱥᱟᱦᱟᱸ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
demo0080	अक्षर कहाँ है?	ᱚᱠᱷᱚᱨ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
demo0081	यह लाल कुर्सी है।	ᱱᱚᱣᱟ ᱞᱟᱞ ᱠᱩᱨᱥᱤ ᱠᱟᱱᱟ।
demo0082	यह सफ़ेद पाठ है।	ᱱᱚᱣᱟ ᱫᱟᱹᱲ ᱯᱟᱴᱷ ᱠᱟᱱᱟ।
demo0083	यह छोटा पेन है।	ᱱᱚᱣᱟ ᱦᱩᱰᱤᱧ ᱯᱮᱱ ᱠᱟᱱᱟ।
demo0084	यह पीला इतिहास है।	ᱱᱚᱣᱟ ᱯᱤᱞ ᱱᱟᱜᱟᱢ ᱠᱟᱱᱟ।
demo0085	यह लाल नक्शा है।	ᱱᱚᱣᱟ ᱞᱟᱞ ᱱᱚᱠᱥᱟ ᱠᱟᱱᱟ।
demo0086	यह हरा स्कूल है।	ᱱᱚᱣᱟ ᱦᱟᱨᱟ ᱥᱠᱩᱞ ᱠᱟᱱᱟ।
demo0087	यह नीला कुर्सी है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱠᱩᱨᱥᱤ ᱠᱟᱱᱟ।
demo0088	यह नया उत्तर है।	ᱱᱚᱣᱟ ᱱᱟᱣᱟ ᱛᱮᱞᱟ ᱠᱟᱱᱟ।
demo0089	यह सफ़ेद खेल है।	ᱱᱚᱣᱟ ᱫᱟᱹᱲ ᱠᱷᱮᱞ ᱠᱟᱱᱟ।
demo0090	यह नया बस्ता है।	ᱱᱚᱣᱟ ᱱᱟᱣᱟ ᱵᱟᱹᱜ ᱠᱟᱱᱟ।
demo0091	यह लाल घड़ी है।	ᱱᱚᱣᱟ ᱞᱟᱞ ᱜᱷᱟᱲᱤ ᱠᱟᱱᱟ।
demo0092	यह पुराना कक्षा है।	ᱱᱚᱣᱟ ᱢᱟᱨᱮ ᱠᱞᱟᱥ ᱠᱟᱱᱟ।
demo0093	यह हरा बस्ता है।	ᱱᱚᱣᱟ ᱦᱟᱨᱟ ᱵᱟᱹᱜ ᱠᱟᱱᱟ।
demo0094	यह नीला अध्यापक है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱢᱟᱪᱮᱫ ᱠᱟᱱᱟ।
demo0095	यह काला प्रश्न है।	ᱱᱚᱣᱟ ᱠᱟᱞᱟ ᱠᱩᱞᱤ ᱠᱟᱱᱟ।
demo0096	यह सफ़ेद प्रश्न है।	ᱱᱚᱣᱟ ᱫᱟᱹᱲ ᱠᱩᱞᱤ ᱠᱟᱱᱟ।
demo0097	वह एक फर्श है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫ ᱚᱛ ᱠᱟᱱᱟ।
demo0098	यह काला कक्षा है।	ᱱᱚᱣᱟ ᱠᱟᱞᱟ ᱠᱞᱟᱥ ᱠᱟᱱᱟ।
demo0099	यह नया खेल है।	ᱱᱚᱣᱟ ᱱᱟᱣᱟ ᱠᱷᱮᱞ ᱠᱟᱱᱟ।
demo0100	कलम कहाँ है?	ᱠᱟᱞᱟᱢ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
demo0101	अध्यापक कहाँ है?	ᱢᱟᱪᱮᱫ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
demo0102	यह पीला कुर्सी है।	ᱱᱚᱣᱟ ᱯᱤᱞ ᱠᱩᱨᱥᱤ ᱠᱟᱱᱟ।
demo0103	यह हरा स्लेट है।	ᱱᱚᱣᱟ ᱦᱟᱨᱟ ᱥᱞᱮᱴ ᱠᱟᱱᱟ।
demo0104	यह लाल गणित है।	ᱱᱚᱣᱟ ᱞᱟᱞ ᱮᱞᱠᱷᱟ ᱠᱟᱱᱟ।
demo0105	यह काला पाठ है।	ᱱᱚᱣᱟ ᱠᱟᱞᱟ ᱯᱟᱴᱷ ᱠᱟᱱᱟ।
demo0106	यह पीला शिक्षक है।	ᱱᱚᱣᱟ ᱯᱤᱞ ᱥᱟᱦᱟᱸ ᱠᱟᱱᱟ।
demo0107	यह नीला कलम है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱠᱟᱞᱟᱢ ᱠᱟᱱᱟ।
demo0108	यह हरा कक्षा है।	ᱱᱚᱣᱟ ᱦᱟᱨᱟ ᱠᱞᱟᱥ ᱠᱟᱱᱟ।
demo0109	यह पीला किताब है।	ᱱᱚᱣᱟ ᱯᱤᱞ ᱯᱚᱛᱚᱢ ᱠᱟᱱᱟ।
demo0110	यह नीला शिक्षक है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱥᱟᱦᱟᱸ ᱠᱟᱱᱟ।
demo0111	यह सफ़ेद स्कूल है।	ᱱᱚᱣᱟ ᱫᱟᱹᱲ ᱥᱠᱩᱞ ᱠᱟᱱᱟ।
demo0112	यह अच्छा पेन है।	ᱱᱚᱣᱟ ᱱᱟᱯᱟᱭ ᱯᱮᱱ ᱠᱟᱱᱟ।
demo0113	शिक्षक ने फर्श दिया।	ᱢᱟᱪᱮᱫ ᱫᱚ ᱚᱛ ᱮᱢ ᱠᱮᱫᱟ।
demo0114	यह पुराना प्रश्न है।	ᱱᱚᱣᱟ ᱢᱟᱨᱮ ᱠᱩᱞᱤ ᱠᱟᱱᱟ।
demo0115	कक्षा में चॉक है।	ᱠᱞᱟᱥ ᱨᱮ ᱪᱟᱠ ᱢᱮᱱᱟᱜᱼᱟ।
demo0116	यह काला उत्तर है।	ᱱᱚᱣᱟ ᱠᱟᱞᱟ ᱛᱮᱞᱟ ᱠᱟᱱᱟ।
demo0117	विज्ञान कहाँ है?	ᱥᱟᱬᱮᱥ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
demo0118	यह नीला दीवार है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱫᱮᱣᱟᱞ ᱠᱟᱱᱟ।
demo0119	यह सफ़ेद बस्ता है।	ᱱᱚᱣᱟ ᱫᱟᱹᱲ ᱵᱟᱹᱜ ᱠᱟᱱᱟ।
demo0120	दीवार कहाँ है?	ᱫᱮᱣᱟᱞ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
demo0121	यह नीला किताब है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱯᱚᱛᱚᱢ ᱠᱟᱱᱟ।
demo0122	यह नीला नक्शा है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱱᱚᱠᱥᱟ ᱠᱟᱱᱟ।
demo0123	यह सफ़ेद कक्षा है।	ᱱᱚᱣᱟ ᱫᱟᱹᱲ ᱠᱞᱟᱥ ᱠᱟᱱᱟ।
demo0124	यह लाल इतिहास है।	ᱱᱚᱣᱟ ᱞᱟᱞ ᱱᱟᱜᱟᱢ ᱠᱟᱱᱟ।
demo0125	यह पीला शब्द है।	ᱱᱚᱣᱟ ᱯᱤᱞ ᱥᱚᱵᱚᱫ ᱠᱟᱱᱟ।
demo0126	यह पीला गणित है।	ᱱᱚᱣᱟ ᱯᱤᱞ ᱮᱞᱠᱷᱟ ᱠᱟᱱᱟ।
demo0127	यह काला बस्ता है।	ᱱᱚᱣᱟ ᱠᱟᱞᱟ ᱵᱟᱹᱜ ᱠᱟᱱᱟ।
demo0128	मेज़ कहाँ है?	ᱴᱮᱵᱩᱞ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
demo0129	यह नीला विज्ञान है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱥᱟᱬᱮᱥ ᱠᱟᱱᱟ।
demo0130	यह पीला कलम है।	ᱱᱚᱣᱟ ᱯᱤᱞ ᱠᱟᱞᱟᱢ ᱠᱟᱱᱟ।
demo0131	यह हरा खेल है।	ᱱᱚᱣᱟ ᱦᱟᱨᱟ ᱠᱷᱮᱞ ᱠᱟᱱᱟ।
demo0132	यह नया स्लेट है।	ᱱᱚᱣᱟ ᱱᱟᱣᱟ ᱥᱞᱮᱴ ᱠᱟᱱᱟ।
demo0133	यह नीला घड़ी है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱜᱷᱟᱲᱤ ᱠᱟᱱᱟ।
demo0134	यह लाल दीवार है।	ᱱᱚᱣᱟ ᱞᱟᱞ ᱫᱮᱣᱟᱞ ᱠᱟᱱᱟ।
demo0135	यह काला स्कूल है।	ᱱᱚᱣᱟ ᱠᱟᱞᱟ ᱥᱠᱩᱞ ᱠᱟᱱᱟ।
demo0136	यह सफ़ेद स्लेट है।	ᱱᱚᱣᱟ ᱫᱟᱹᱲ ᱥᱞᱮᱴ ᱠᱟᱱᱟ।
demo0137	यह सफ़ेद उत्तर है।	ᱱᱚᱣᱟ ᱫᱟᱹᱲ ᱛᱮᱞᱟ ᱠᱟᱱᱟ।
demo0138	यह पीला अध्यापक है।	ᱱᱚᱣᱟ ᱯᱤᱞ ᱢᱟᱪᱮᱫ ᱠᱟᱱᱟ।
demo0139	यह हरा उत्तर है।	ᱱᱚᱣᱟ ᱦᱟᱨᱟ ᱛᱮᱞᱟ ᱠᱟᱱᱟ।
demo0140	कुर्सी कहाँ है?	ᱠᱩᱨᱥᱤ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
demo0141	यह पुराना स्कूल है।	ᱱᱚᱣᱟ ᱢᱟᱨᱮ ᱥᱠᱩᱞ ᱠᱟᱱᱟ।
demo0142	यह काला खेल है।	ᱱᱚᱣᱟ ᱠᱟᱞᱟ ᱠᱷᱮᱞ ᱠᱟᱱᱟ।
demo0143	यह एक फर्श है।	ᱱᱚᱣᱟ ᱫᱚ ᱢᱤᱫ ᱚᱛ ᱠᱟᱱᱟ।
demo0144	यह लाल किताब है।	ᱱᱚᱣᱟ ᱞᱟᱞ ᱯᱚᱛᱚᱢ ᱠᱟᱱᱟ।
demo0145	यह पुराना स्लेट है।	ᱱᱚᱣᱟ ᱢᱟᱨᱮ ᱥᱞᱮᱴ ᱠᱟᱱᱟ।
demo0146	यह पीला नक्शा है।	ᱱᱚᱣᱟ ᱯᱤᱞ ᱱᱚᱠᱥᱟ ᱠᱟᱱᱟ।
demo0147	इतिहास कहाँ है?	ᱱᱟᱜᱟᱢ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
demo0148	यह पेन अच्छा है।	ᱱᱚᱣᱟ ᱯᱮᱱ ᱱᱟᱯᱟᱭ ᱜᱮᱭᱟ।
demo0149	यह लाल शब्द है।	ᱱᱚᱣᱟ ᱞᱟᱞ ᱥᱚᱵᱚᱫ ᱠᱟᱱᱟ।
demo0150	यह नीला इतिहास है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱱᱟᱜᱟᱢ ᱠᱟᱱᱟ।
demo0151	यह पीला विज्ञान है।	ᱱᱚᱣᱟ ᱯᱤᱞ ᱥᱟᱬᱮᱥ ᱠᱟᱱᱟ।
demo0152	यह अच्छा चॉक है।	ᱱᱚᱣᱟ ᱱᱟᱯᱟᱭ ᱪᱟᱠ ᱠᱟᱱᱟ।
demo0153	यह नीला अक्षर है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱚᱠᱷᱚᱨ ᱠᱟᱱᱟ।
demo0154	घड़ी कहाँ है?	ᱜᱷᱟᱲᱤ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
demo0155	यह पीला अक्षर है।	ᱱᱚᱣᱟ ᱯᱤᱞ ᱚᱠᱷᱚᱨ ᱠᱟᱱᱟ।
demo0156	यह पीला दीवार है।	ᱱᱚᱣᱟ ᱯᱤᱞ ᱫᱮᱣᱟᱞ ᱠᱟᱱᱟ।
demo0157	यह काला स्लेट है।	ᱱᱚᱣᱟ ᱠᱟᱞᱟ ᱥᱞᱮᱴ ᱠᱟᱱᱟ।
demo0158	कक्षा में पेन है।	ᱠᱞᱟᱥ ᱨᱮ ᱯᱮᱱ ᱢᱮᱱᱟᱜᱼᱟ।
demo0159	यह लाल मेज़ है।	ᱱᱚᱣᱟ ᱞᱟᱞ ᱴᱮᱵᱩᱞ ᱠᱟᱱᱟ।
demo0160	यह पुराना बस्ता है।	ᱱᱚᱣᱟ ᱢᱟᱨᱮ ᱵᱟᱹᱜ ᱠᱟᱱᱟ।
demo0161	किताब कहाँ है?	ᱯᱚᱛᱚᱢ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
demo0162	यह पीला घड़ी है।	ᱱᱚᱣᱟ ᱯᱤᱞ ᱜᱷᱟᱲᱤ ᱠᱟᱱᱟ।
demo0163	यह नया प्रश्न है।	ᱱᱚᱣᱟ ᱱᱟᱣᱟ ᱠᱩᱞᱤ ᱠᱟᱱᱟ।
demo0164	यह हरा प्रश्न है।	ᱱᱚᱣᱟ ᱦᱟᱨᱟ ᱠᱩᱞᱤ ᱠᱟᱱᱟ।
demo0165	यह हरा पाठ है।	ᱱᱚᱣᱟ ᱦᱟᱨᱟ ᱯᱟᱴᱷ ᱠᱟᱱᱟ।
demo0166	यह पीला मेज़ है।	ᱱᱚᱣᱟ ᱯᱤᱞ ᱴᱮᱵᱩᱞ ᱠᱟᱱᱟ।
demo0167	गणित कहाँ है?	ᱮᱞᱠᱷᱟ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
demo0168	यह नीला शब्द है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱥᱚᱵᱚᱫ ᱠᱟᱱᱟ।
demo0169	यह लाल शिक्षक है।	ᱱᱚᱣᱟ ᱞᱟᱞ ᱥᱟᱦᱟᱸ ᱠᱟᱱᱟ।
demo0170	यह लाल कलम है।	ᱱᱚᱣᱟ ᱞᱟᱞ ᱠᱟᱞᱟᱢ ᱠᱟᱱᱟ।
demo0171	नक्शा कहाँ है?	ᱱᱚᱠᱥᱟ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
demo0172	यह पुराना खेल है।	ᱱᱚᱣᱟ ᱢᱟᱨᱮ ᱠᱷᱮᱞ ᱠᱟᱱᱟ।
demo0173	यह लाल अक्षर है।	ᱱᱚᱣᱟ ᱞᱟᱞ ᱚᱠᱷᱚᱨ ᱠᱟᱱᱟ।
demo0174	यह लाल पेंसिल है।	ᱱᱚᱣᱟ ᱞᱟᱞ ᱯᱮᱱᱥᱤᱞ ᱠᱟᱱᱟ।
demo0175	यह नीला काग़ज़ है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱠᱟᱜᱚᱡᱽ ᱠᱟᱱᱟ।
demo0176	यह सफ़ेद नक्शा है।	ᱱᱚᱣᱟ ᱫᱟᱹᱲ ᱱᱚᱠᱥᱟ ᱠᱟᱱᱟ।
demo0177	यह हरा मेज़ है।	ᱱᱚᱣᱟ ᱦᱟᱨᱟ ᱴᱮᱵᱩᱞ ᱠᱟᱱᱟ।
demo0178	यह अच्छा उत्तर है।	ᱱᱚᱣᱟ ᱱᱟᱯᱟᱭ ᱛᱮᱞᱟ ᱠᱟᱱᱟ।
demo0179	यह छोटा कक्षा है।	ᱱᱚᱣᱟ ᱦᱩᱰᱤᱧ ᱠᱞᱟᱥ ᱠᱟᱱᱟ।
demo0180	यह काला शब्द है।	ᱱᱚᱣᱟ ᱠᱟᱞᱟ ᱥᱚᱵᱚᱫ ᱠᱟᱱᱟ।
demo0181	यह काला दीवार है।	ᱱᱚᱣᱟ ᱠᱟᱞᱟ ᱫᱮᱣᱟᱞ ᱠᱟᱱᱟ।
demo0182	यह नीला चित्र है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱪᱤᱛᱟᱹᱨ ᱠᱟᱱᱟ।
demo0183	यह स्लेट अच्छा है।	ᱱᱚᱣᱟ ᱥᱞᱮᱴ ᱱᱟᱯᱟᱭ ᱜᱮᱭᱟ।
demo0184	यह काला मेज़ है।	ᱱᱚᱣᱟ ᱠᱟᱞᱟ ᱴᱮᱵᱩᱞ ᱠᱟᱱᱟ।
demo0185	यह नीला कहानी है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱠᱟᱹᱦᱱᱤ ᱠᱟᱱᱟ।
demo0186	यह सफ़ेद किताब है।	ᱱᱚᱣᱟ ᱫᱟᱹᱲ ᱯᱚᱛᱚᱢ ᱠᱟᱱᱟ।
