एक	ᱢᱤᱫ
तेंतालीस	ᱯᱳᱱ ᱜᱮᱞ ᱯᱮ
चवालीस	ᱯᱳᱱ ᱜᱮᱞ ᱯᱳᱱ
पैंतालीस	ᱯᱳᱱ ᱜᱮᱞ ᱢᱚᱬᱮ
छियालीस	ᱯᱳᱱ ᱜᱮᱞ ᱛᱩᱨᱩᱭ
संतालीस	ᱯᱳᱱ ᱜᱮᱞ ᱮᱭᱟᱭ
अड़तालीस	ᱯᱳᱱ ᱜᱮᱞ ᱟᱨ
नवालीस	ᱯᱳᱱ ᱜᱮᱞ ᱱᱟᱭ
पचास	ᱢᱚᱬᱮ ᱜᱮᱞ
इक्यावन	ᱢᱚᱬᱮ ᱜᱮᱞ ᱢᱤᱫ
बावन	ᱢᱚᱬᱮ ᱜᱮᱞ ᱵᱟᱨ
तिरेपन	ᱢᱚᱬᱮ ᱜᱮᱞ ᱯᱮ
चौवन	ᱢᱚᱬᱮ ᱜᱮᱞ ᱯᱳᱱ
पचपन	ᱢᱚᱬᱮ ᱜᱮᱞ ᱢᱚᱬᱮ
छप्पन	ᱢᱚᱬᱮ ᱜᱮᱞ ᱛᱩᱨᱩᱭ
सत्तावन	ᱢᱚᱬᱮ ᱜᱮᱞ ᱮᱭᱟᱭ
अट्ठावन	ᱢᱚᱬᱮ ᱜᱮᱞ ᱟᱨ
उनसठ	ᱢᱚᱬᱮ ᱜᱮᱞ ᱱᱟᱭ
साठ	ᱛᱩᱨᱩᱭ ᱜᱮᱞ
इकसठ	ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱢᱤᱫ
बासठ	ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱵᱟᱨ
तिरेसठ	ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱯᱮ
चौंसठ	ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱯᱳᱱ
पैंसठ	ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱢᱚᱬᱮ
छियासठ	ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱛᱩᱨᱩᱭ
सड़सठ	ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱮᱭᱟᱭ
अड़सठ	ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱟᱨ
उनसठ	ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱱᱟᱭ
सत्तर	ᱮᱭᱟᱭ ᱜᱮᱞ
इकहत्तर	ᱮᱭᱟᱭ ᱜᱮᱞ ᱢᱤᱫ
बहत्तर	ᱮᱭᱟᱭ ᱜᱮᱞ ᱵᱟᱨ
तिहत्तर	ᱮᱭᱟᱭ ᱜᱮᱞ ᱯᱮ
चौहत्तर	ᱮᱭᱟᱭ ᱜᱮᱞ ᱯᱳᱱ
पचहत्तर	ᱮᱭᱟᱭ ᱜᱮᱞ ᱢᱚᱬᱮ
छियत्तर	ᱮᱭᱟᱭ ᱜᱮᱞ ᱛᱩᱨᱩᱭ
सतहत्तर	ᱮᱭᱟᱭ ᱜᱮᱞ ᱮᱭᱟᱭ
अठहत्तर	ᱮᱭᱟᱭ ᱜᱮᱞ ᱟᱨ
उनासी	ᱮᱭᱟᱭ ᱜᱮᱞ ᱱᱟᱭ
अस्सी	ᱟᱨ ᱜᱮᱞ
इक्यासी	ᱟᱨ ᱜᱮᱞ ᱢᱤᱫ
बयासी	ᱟᱨ ᱜᱮᱞ ᱵᱟᱨ
तिरासी	ᱟᱨ ᱜᱮᱞ ᱯᱮ
चौरासी	ᱟᱨ ᱜᱮᱞ ᱯᱳᱱ
पचासी	ᱟᱨ ᱜᱮᱞ ᱢᱚᱬᱮ
छियासी	ᱟᱨ ᱜᱮᱞ ᱛᱩᱨᱩᱭ
सतासी	ᱟᱨ ᱜᱮᱞ ᱮᱭᱟᱭ
अट्ठासी	ᱟᱨ ᱜᱮᱞ ᱟᱨ
नवासी	ᱟᱨ ᱜᱮᱞ ᱱᱟᱭ
नब्बे	ᱱᱟᱭ ᱜᱮᱞ
इक्यानवे	ᱱᱟᱭ ᱜᱮᱞ ᱢᱤᱫ
बानवे	ᱱᱟᱭ ᱜᱮᱞ ᱵᱟᱨ
तिरानवे	ᱱᱟᱭ ᱜᱮᱞ ᱯᱮ
चौरानवे	ᱱᱟᱭ ᱜᱮᱞ ᱯᱳᱱ
पचानवे	ᱱᱟᱭ ᱜᱮᱞ ᱢᱚᱬᱮ
छियानवे	ᱱᱟᱭ ᱜᱮᱞ ᱛᱩᱨᱩᱭ
सत्तानवे	ᱱᱟᱭ ᱜᱮᱞ ᱮᱭᱟᱭ
अट्ठानवे	ᱱᱟᱭ ᱜᱮᱞ ᱟᱨ
निन्यानवे	ᱱᱟᱭ ᱜᱮᱞ ᱱᱟᱭ
सौ	ᱥᱟᱭ
मेरे पास एक किताब हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱢᱤᱫ ᱜᱚᱴᱟᱝ ᱠᱤᱛᱟᱯ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास दो पेंसिल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱵᱟᱨ ᱜᱚᱴᱟᱝ ᱯᱮᱱᱥᱤᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास तीन सेब हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱮ ᱜᱚᱴᱟᱝ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास चार केला हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱳᱱ ᱜᱚᱴᱟᱝ ᱠᱮᱞᱟ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास पाँच आम हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱟᱢ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास छः बच्चा हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱜᱤᱫᱽᱨᱟᱹ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास सात कुर्सी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱠᱩᱨᱥᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास आठ रुपया हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱟᱨ ᱜᱚᱴᱟᱝ ᱯᱟᱹᱲᱯᱟ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास नौ पानी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱱᱟᱭ ᱜᱚᱴᱟᱝ ᱫᱟᱜ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास दस पक्षी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱪᱤᱲᱤᱡ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास ग्यारह मुर्गी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱢᱤᱫ ᱜᱚᱴᱟᱝ ᱢᱩᱠᱨᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास बारह हाथी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱵᱟᱨ ᱜᱚᱴᱟᱝ ᱦᱟᱛᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास तेरह घोड़ा हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱯᱮ ᱜᱚᱴᱟᱝ ᱜᱷᱚᱲᱟ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास चौदह चावल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱯᱳᱱ ᱜᱚᱴᱟᱝ ᱪᱟᱣᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास पंद्रह शब्द हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱥᱚᱵᱚᱫ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास सोलह फल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱯᱟᱹᱨᱟᱹ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास सत्रह किताब हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱠᱤᱛᱟᱯ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास अट्ठारह पेंसिल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱟᱨ ᱜᱚᱴᱟᱝ ᱯᱮᱱᱥᱤᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास उन्नीस सेब हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱱᱟᱭ ᱜᱚᱴᱟᱝ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास बीस केला हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱠᱩᱲᱤ ᱜᱚᱴᱟᱝ ᱠᱮᱞᱟ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास इक्कीस आम हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱠᱩᱲᱤ ᱢᱤᱫ ᱜᱚᱴᱟᱝ ᱟᱢ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास बाईस बच्चा हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱠᱩᱲᱤ ᱵᱟᱨ ᱜᱚᱴᱟᱝ ᱜᱤᱫᱽᱨᱟᱹ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास तेईस कुर्सी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱠᱩᱲᱤ ᱯᱮ ᱜᱚᱴᱟᱝ ᱠᱩᱨᱥᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास चौबीस रुपया हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱠᱩᱲᱤ ᱯᱳᱱ ᱜᱚᱴᱟᱝ ᱯᱟᱹᱲᱯᱟ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास पच्चीस पानी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱠᱩᱲᱤ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱫᱟᱜ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास छब्बीस पक्षी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱠᱩᱲᱤ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱪᱤᱲᱤᱡ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास सत्ताईस मुर्गी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱠᱩᱲᱤ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱢᱩᱠᱨᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास अट्ठाईस हाथी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱠᱩᱲᱤ ᱟᱨ ᱜᱚᱴᱟᱝ ᱦᱟᱛᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास उनतीस घोड़ा हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱠᱩᱲᱤ ᱱᱟᱭ ᱜᱚᱴᱟᱝ ᱜᱷᱚᱲᱟ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास तीस चावल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱮ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱪᱟᱣᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास इकतीस शब्द हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱮ ᱜᱮᱞ ᱢᱤᱫ ᱜᱚᱴᱟᱝ ᱥᱚᱵᱚᱫ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास बत्तीस फल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱮ ᱜᱮᱞ ᱵᱟᱨ ᱜᱚᱴᱟᱝ ᱯᱟᱹᱨᱟᱹ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास तेतीस किताब हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱮ ᱜᱮᱞ ᱯᱮ ᱜᱚᱴᱟᱝ ᱠᱤᱛᱟᱯ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास चौंतीस पेंसिल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱮ ᱜᱮᱞ ᱯᱳᱱ ᱜᱚᱴᱟᱝ ᱯᱮᱱᱥᱤᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास पैंतीस सेब हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱮ ᱜᱮᱞ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास छत्तीस केला हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱮ ᱜᱮᱞ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱠᱮᱞᱟ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास सैंतीस आम हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱮ ᱜᱮᱞ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱟᱢ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास अड़तीस बच्चा हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱮ ᱜᱮᱞ ᱟᱨ ᱜᱚᱴᱟᱝ ᱜᱤᱫᱽᱨᱟᱹ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास उनतालीस कुर्सी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱮ ᱜᱮᱞ ᱱᱟᱭ ᱜᱚᱴᱟᱝ ᱠᱩᱨᱥᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास चालीस रुपया हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱳᱱ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱯᱟᱹᱲᱯᱟ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास इकतालीस पानी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱳᱱ ᱜᱮᱞ ᱢᱤᱫ ᱜᱚᱴᱟᱝ ᱫᱟᱜ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास बयालीस पक्षी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱳᱱ ᱜᱮᱞ ᱵᱟᱨ ᱜᱚᱴᱟᱝ ᱪᱤᱲᱤᱡ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास तेंतालीस मुर्गी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱳᱱ ᱜᱮᱞ ᱯᱮ ᱜᱚᱴᱟᱝ ᱢᱩᱠᱨᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास चवालीस हाथी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱳᱱ ᱜᱮᱞ ᱯᱳᱱ ᱜᱚᱴᱟᱝ ᱦᱟᱛᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास पैंतालीस घोड़ा हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱳᱱ ᱜᱮᱞ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱜᱷᱚᱲᱟ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास छियालीस चावल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱳᱱ ᱜᱮᱞ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱪᱟᱣᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास संतालीस शब्द हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱳᱱ ᱜᱮᱞ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱥᱚᱵᱚᱫ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास अड़तालीस फल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱳᱱ ᱜᱮᱞ ᱟᱨ ᱜᱚᱴᱟᱝ ᱯᱟᱹᱨᱟᱹ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास नवालीस किताब हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱳᱱ ᱜᱮᱞ ᱱᱟᱭ ᱜᱚᱴᱟᱝ ᱠᱤᱛᱟᱯ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास पचास पेंसिल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱢᱚᱬᱮ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱯᱮᱱᱥᱤᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास इक्यावन सेब हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱢᱚᱬᱮ ᱜᱮᱞ ᱢᱤᱫ ᱜᱚᱴᱟᱝ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास बावन केला हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱢᱚᱬᱮ ᱜᱮᱞ ᱵᱟᱨ ᱜᱚᱴᱟᱝ ᱠᱮᱞᱟ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास तिरेपन आम हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱢᱚᱬᱮ ᱜᱮᱞ ᱯᱮ ᱜᱚᱴᱟᱝ ᱟᱢ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास चौवन बच्चा हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱢᱚᱬᱮ ᱜᱮᱞ ᱯᱳᱱ ᱜᱚᱴᱟᱝ ᱜᱤᱫᱽᱨᱟᱹ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास पचपन कुर्सी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱢᱚᱬᱮ ᱜᱮᱞ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱠᱩᱨᱥᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास छप्पन रुपया हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱢᱚᱬᱮ ᱜᱮᱞ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱯᱟᱹᱲᱯᱟ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास सत्तावन पानी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱢᱚᱬᱮ ᱜᱮᱞ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱫᱟᱜ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास अट्ठावन पक्षी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱢᱚᱬᱮ ᱜᱮᱞ ᱟᱨ ᱜᱚᱴᱟᱝ ᱪᱤᱲᱤᱡ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास उनसठ मुर्गी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱢᱚᱬᱮ ᱜᱮᱞ ᱱᱟᱭ ᱜᱚᱴᱟᱝ ᱢᱩᱠᱨᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास साठ हाथी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱦᱟᱛᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास इकसठ घोड़ा हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱢᱤᱫ ᱜᱚᱴᱟᱝ ᱜᱷᱚᱲᱟ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास बासठ चावल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱵᱟᱨ ᱜᱚᱴᱟᱝ ᱪᱟᱣᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास तिरेसठ शब्द हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱯᱮ ᱜᱚᱴᱟᱝ ᱥᱚᱵᱚᱫ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास चौंसठ फल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱯᱳᱱ ᱜᱚᱴᱟᱝ ᱯᱟᱹᱨᱟᱹ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास पैंसठ किताब हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱠᱤᱛᱟᱯ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास छियासठ पेंसिल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱯᱮᱱᱥᱤᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास सड़सठ सेब हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास अड़सठ केला हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱟᱨ ᱜᱚᱴᱟᱝ ᱠᱮᱞᱟ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास उनसठ आम हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱱᱟᱭ ᱜᱚᱴᱟᱝ ᱟᱢ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास सत्तर बच्चा हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱮᱭᱟᱭ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱜᱤᱫᱽᱨᱟᱹ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास इकहत्तर कुर्सी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱮᱭᱟᱭ ᱜᱮᱞ ᱢᱤᱫ ᱜᱚᱴᱟᱝ ᱠᱩᱨᱥᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास बहत्तर रुपया हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱮᱭᱟᱭ ᱜᱮᱞ ᱵᱟᱨ ᱜᱚᱴᱟᱝ ᱯᱟᱹᱲᱯᱟ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
