कल हमारी छुट्टी है।	ᱦᱚᱭᱦᱩᱫᱮ ᱤᱧᱟᱹᱜ ᱪᱷᱟᱹᱲ ᱠᱟᱱᱟ ᱾
पानी पीना सेहत के लिए अच्छा है।	ᱫᱟᱜᱧᱟᱢ ᱫᱚ ᱦᱚᱲᱢᱚ ᱞᱟᱹᱜᱤᱫ ᱱᱟᱯᱟᱭ ᱠᱟᱱᱟ ᱾
अपने हाथ धो लें।	ᱟᱢᱟᱜ ᱛᱤ ᱠᱚ ᱰᱟᱣᱩᱱᱞ ᱢᱮ ᱾
ध्यान से सुनो।	ᱢᱚᱱᱮ ᱠᱟᱛᱮ ᱵᱟᱰᱟᱭ ᱢᱮ ᱾
ब्लैकबोर्ड देखो।	ᱵᱞᱟᱠᱵᱳᱨᱰ ᱧᱮᱞ ᱢᱮ ᱾
अपना होमवर्क कर लो।	ᱟᱢᱟᱜ ᱚᱲᱟᱜ ᱨᱮᱭᱟᱜ ᱠᱟᱹᱢᱤ ᱢᱮ ᱾
शिक्षक का सम्मान करो।	ᱥᱮᱪᱮᱫᱤᱭᱟᱹ ᱠᱚ ᱢᱟᱹᱱ ᱮᱢ ᱢᱮ ᱾
पेड़ हरे होते हैं।	ᱵᱤᱨ ᱠᱚᱫᱚ ᱜᱟᱹᱨᱰᱩ ᱾
सूरज आकाश में है।	ᱥᱩᱨᱡᱚ ᱫᱚ ᱦᱚᱭᱦᱩᱫ ᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ ᱾
गाय दूध देती है।	ᱜᱳᱣ ᱫᱚ ᱰᱟᱣᱩᱱᱞ ᱮ ᱮᱢ ᱞᱮᱫᱟ ᱾
हमारा गाँव बहुत सुंदर है।	ᱤᱧᱟᱹᱜ ᱟᱛᱳ ᱫᱚ ᱟᱹᱰᱤ ᱱᱟᱯᱟᱭ ᱠᱟᱱᱟ ᱾
माँ बहुत प्यारी हैं।	ᱟᱭᱳ ᱫᱚ ᱟᱹᱰᱤ ᱱᱟᱯᱟᱭ ᱾
पढ़ाई से बुद्धि बढ़ती है।	ᱥᱮᱪᱮᱫ ᱠᱷᱚᱱ ᱩᱭᱦᱟᱹᱨᱮ ᱰᱷᱮᱨᱚᱜᱼᱟ ᱾
आज मौसम साफ़ है।	ᱛᱮᱦᱮᱧ ᱦᱚᱭᱦᱩᱫᱥᱤᱫ ᱟᱹᱰᱤ ᱱᱟᱯᱟᱭ ᱠᱟᱱᱟ ᱾
खाना खा लो।	ᱡᱚᱢᱟᱜ ᱦᱟᱛᱟᱣ ᱢᱮ ᱾
सो जाओ, कल सुबह उठना है।	ᱥᱳᱯᱨᱳᱫ ᱢᱮ, ᱦᱚᱭᱦᱩᱫᱮ ꯑꯌꯨꯛ ᱨᱮ ᱡᱟᱱᱟᱢᱚᱜᱼᱟ ᱾
अक्षर पहचानो।	ᱮᱞᱟᱨᱴ ᱫᱚ ᱪᱤᱱᱦᱟᱹ ᱢᱮ ᱾
शब्दों का अर्थ समझो।	ᱥᱟᱵᱟᱫ ᱨᱮᱭᱟᱜ ᱢᱮᱱᱮᱫ ᱵᱟᱰᱟᱭ ᱢᱮ ᱾
धीरे-धीरे पढ़ो।	ᱠᱚᱢ ᱚᱠᱛᱚ ᱨᱮ ᱯᱟᱲᱦᱟᱣ ᱢᱮ ᱾
गिनती एक से सौ तक करो।	ᱢᱤᱫ ᱠᱷᱚᱱ ᱥᱟᱭ ᱫᱷᱟᱹᱵᱤᱡ ᱞᱮᱠᱷᱟ ᱢᱮ ᱾
यह नीला रंग है।	ᱱᱚᱶᱟ ᱫᱚ ᱱᱤᱞᱩ ꯃꯆꯨ ᱾
वह लड़का दौड़ रहा है।	ᱜᱤᱫᱽᱨᱟᱹ ᱫᱚ ᱪᱟᱞᱟᱣᱚᱜ ᱠᱟᱱᱟ ᱾
लड़की किताब पढ़ रही है।	ᱠᱩᱲᱤ ᱜᱤᱫᱽᱨᱟᱹ ᱫᱚ ᱯᱚᱛᱚᱵ ᱠᱚ ᱯᱟᱲᱦᱟᱣ ᱮᱫᱟ ᱾
हमारी भाषा हिंदी है।	ᱤᱧᱟᱹᱜ ᱯᱟᱹᱨᱥᱤ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱦᱤᱱᱫᱤ ᱾
संताली एक सुंदर भाषा है।	ᱥᱟᱱᱛᱟᱞᱤ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱱᱟᱯᱟᱭ ᱯᱟᱹᱨᱥᱤ ᱾
तुम कहाँ जा रहे हो?	ᱟᱢ ᱪᱮᱫ ᱥᱮᱫ ᱪᱟᱞᱟᱣᱚᱜ ᱠᱟᱱᱟ?
मुझे पढ़ना अच्छा लगता है।	ᱤᱧ ᱯᱟᱲᱦᱟᱣ ᱞᱟᱹᱜᱤᱫ ᱮ ᱱᱟᱯᱟᱭᱼᱟ ᱾
सब लोग यहाँ आएं।	ᱥᱟᱱᱟᱢ ᱦᱚᱲ ᱜᱮ ᱦᱮᱡ ᱢᱮ ᱾
चुपचाप बैठो।	ᱥᱩᱛᱚ ᱠᱟᱛᱮ ᱥᱮᱱ ᱢᱮ ᱾
मेज़ पर किताब रखो।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱯᱚᱛᱚᱵ ᱫᱚᱦᱚ ᱢᱮ ᱾
खेलने का समय हो गया।	ᱠᱷᱮᱞ ᱨᱮᱭᱟᱜ ᱚᱠᱛᱚ ᱦᱮᱡ ᱟᱠᱟᱱᱟ ᱾
गिनती: एक।	ᱞᱮᱠᱷᱟ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱢᱤᱫᱴᱟᱝ ᱾
गिनती: दो।	ᱞᱮᱠᱷᱟ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱵᱟᱨᱭᱟ ᱾
गिनती: तीन।	ᱞᱮᱠᱷᱟ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱯᱮᱭᱟ ᱾
गिनती: चार।	ᱞᱮᱠᱷᱟ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ 4 ᱜᱚᱴᱟᱝ ᱾
गिनती: पाँच।	ᱞᱮᱠᱷᱟ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱾
गिनती: छः।	ᱞᱮᱠᱷᱟ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱾
गिनती: सात।	ᱞᱮᱠᱷᱟ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱾
गिनती: आठ।	ᱞᱮᱠᱷᱟ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ 8 ᱜᱚᱴᱟᱝ ᱾
गिनती: नौ।	ᱞᱮᱠᱷᱟ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ 9 ᱜᱚᱴᱟᱝ ᱾
गिनती: दस।	ᱞᱮᱠᱷᱟ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱾
यह लाल रंग है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱟᱨᱟᱜ ꯃꯆꯨ ᱾
यह नीला रंग है।	ᱱᱚᱶᱟ ᱫᱚ ᱱᱤᱞᱩ ꯃꯆꯨ ᱾
यह हरा रंग है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱜᱟᱹᱨᱰᱩ ᱾
यह पीला रंग है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱡᱚᱞᱟ ꯃꯆꯨ ᱾
यह काला रंग है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱠᱟᱞᱚ ꯃꯆꯨ ᱾
यह सफ़ेद रंग है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱥᱟᱭᱴ ᱨᱚᱝ ᱾
यह एक सेब है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱟᱢᱚᱞ ᱾
यह एक केला है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱠᱟᱞ ᱠᱟᱱᱟ ᱾
यह एक आम है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱥᱟᱫᱷᱟᱨᱚᱱ ᱠᱟᱛᱷᱟ ᱠᱟᱱᱟ ᱾
यह एक अमरूद है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱟᱢᱚᱞ ᱾
यह एक नारियल है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱱᱟᱨᱠᱮᱞ ᱾
एक सेब मेज़ पर हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱢᱤᱫᱴᱟᱝ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
एक केला मेज़ पर हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱢᱤᱫᱴᱟᱝ ᱠᱟᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
एक आम मेज़ पर हैं।	ᱢᱤᱫᱴᱟᱝ ᱥᱟᱫᱷᱟᱨᱚᱱ ᱴᱮᱵᱤᱞ ᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ ᱾
एक अमरूद मेज़ पर हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱢᱤᱫᱴᱟᱝ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
एक नारियल मेज़ पर हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱢᱤᱫᱴᱟᱝ ᱱᱟᱨᱠᱮᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
दो सेब मेज़ पर हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱵᱟᱨᱭᱟ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
दो केला मेज़ पर हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱵᱟᱨᱭᱟ ᱠᱟᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
दो आम मेज़ पर हैं।	ᱵᱟᱨᱭᱟ ᱥᱟᱫᱷᱟᱨᱚᱱ ᱴᱮᱵᱤᱞ ᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ ᱾
दो अमरूद मेज़ पर हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱵᱟᱨᱭᱟ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
दो नारियल मेज़ पर हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱵᱟᱨᱭᱟ ᱱᱟᱨᱠᱮᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
तीन सेब मेज़ पर हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱯᱮᱭᱟ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
तीन केला मेज़ पर हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱯᱮᱭᱟ ᱠᱟᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
तीन आम मेज़ पर हैं।	ᱯᱮᱭᱟ ᱥᱟᱫᱷᱟᱨᱚᱱ ᱴᱮᱵᱤᱞ ᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ ᱾
तीन अमरूद मेज़ पर हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱯᱮᱭᱟ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
तीन नारियल मेज़ पर हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱯᱮᱭᱟ ᱱᱟᱨᱠᱮᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
चार सेब मेज़ पर हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ 4 ᱜᱚᱴᱟᱝ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
चार केला मेज़ पर हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ 4 ᱜᱚᱴᱟᱝ ᱠᱟᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
चार आम मेज़ पर हैं।	ᱪᱮᱨᱟᱱ ᱥᱟᱫᱷᱟᱨᱚᱱ ᱴᱮᱵᱤᱞ ᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ ᱾
चार अमरूद मेज़ पर हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ 4 ᱜᱚᱴᱟᱝ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
चार नारियल मेज़ पर हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ 4 ᱜᱚᱴᱟᱝ ᱱᱟᱨᱠᱮᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
पाँच सेब मेज़ पर हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
पाँच केला मेज़ पर हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱠᱟᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
पाँच आम मेज़ पर हैं।	ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱥᱟᱫᱷᱟᱨᱚᱱ ᱴᱮᱵᱤᱞ ᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ ᱾
पाँच अमरूद मेज़ पर हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
पाँच नारियल मेज़ पर हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱱᱟᱨᱠᱮᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
छः सेब मेज़ पर हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
छः केला मेज़ पर हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱠᱟᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
छः आम मेज़ पर हैं।	ᱥᱟᱫᱷᱟᱨᱚᱱ ᱴᱮᱵᱤᱞ ᱨᱮ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱢᱮᱱᱟᱜᱼᱟ ᱾
छः अमरूद मेज़ पर हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
छः नारियल मेज़ पर हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱱᱟᱨᱠᱮᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
सात सेब मेज़ पर हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
सात केला मेज़ पर हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱠᱟᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
सात आम मेज़ पर हैं।	ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱥᱟᱫᱷᱟᱨᱚᱱ ᱴᱮᱵᱤᱞ ᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ ᱾
सात अमरूद मेज़ पर हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
सात नारियल मेज़ पर हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱱᱟᱨᱠᱮᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
आठ सेब मेज़ पर हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ 8 ᱜᱚᱴᱟᱝ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
आठ केला मेज़ पर हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ 8 ᱜᱚᱴᱟᱝ ᱠᱟᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
आठ आम मेज़ पर हैं।	ᱥᱟᱫᱷᱟᱨᱚᱱ ᱴᱮᱵᱤᱞ ᱨᱮ 8 ᱜᱚᱴᱟᱝ ᱢᱮᱱᱟᱜᱼᱟ ᱾
आठ अमरूद मेज़ पर हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ 8 ᱜᱚᱴᱟᱝ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
आठ नारियल मेज़ पर हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ 8 ᱜᱚᱴᱟᱝ ᱱᱟᱨᱠᱮᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
नौ सेब मेज़ पर हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ 9 ᱜᱚᱴᱟᱝ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
नौ केला मेज़ पर हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ 9 ᱜᱚᱴᱟᱝ ᱠᱟᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
नौ आम मेज़ पर हैं।	ᱥᱟᱫᱷᱟᱨᱚᱱ ᱴᱮᱵᱤᱞ ᱨᱮ 9 ᱜᱚᱴᱟᱝ ᱢᱮᱱᱟᱜᱼᱟ ᱾
नौ अमरूद मेज़ पर हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ 9 ᱜᱚᱴᱟᱝ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
नौ नारियल मेज़ पर हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ 9 ᱜᱚᱴᱟᱝ ᱱᱟᱨᱠᱮᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
दस सेब मेज़ पर हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
दस केला मेज़ पर हैं।	ᱛᱟᱹᱞᱤᱠᱟ ᱨᱮ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱠᱟᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
दस आम मेज़ पर हैं।	ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱥᱟᱫᱷᱟᱨᱚᱱ ᱴᱮᱵᱤᱞ ᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ ᱾
दस अमरूद मेज़ पर हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
दस नारियल मेज़ पर हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱱᱟᱨᱠᱮᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
गाय एक जानवर है।	ᱜᱳᱣ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱢᱤᱫᱴᱟᱝ ᱵᱤᱨᱤᱭᱟᱹ ᱾
कुत्ता एक जानवर है।	ᱜᱳᱲ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱢᱤᱫᱴᱟᱝ ᱵᱤᱨᱤᱭᱟᱹ ᱾
बिल्ली एक जानवर है।	ᱵᱳᱭᱥ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱵᱤᱨᱤᱭᱟᱹ ᱾
हाथी एक जानवर है।	ᱦᱟᱹᱱᱛᱤ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱢᱤᱫᱴᱟᱝ ᱡᱤᱭᱟᱹᱞᱤ ᱾
घोड़ा एक जानवर है।	ᱜᱳᱲᱟ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱢᱤᱫᱴᱟᱝ ᱵᱤᱨᱤᱭᱟᱹ ᱾
बंदर एक जानवर है।	ᱢᱟᱱᱠᱨᱤ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱢᱤᱫᱴᱟᱝ ᱵᱤᱨᱤᱭᱟᱹ ᱾
गाय दौड़ रहा है।	ᱜᱳᱭ ᱫᱚ ᱪᱟᱞᱟᱣᱚᱜ ᱠᱟᱱᱟ ᱾
गाय खा रहा है।	ᱜᱳᱭ ᱫᱚ ᱠᱷᱟᱱ ᱠᱟᱱᱟ ᱾
गाय सो रहा है।	ᱜᱳᱭᱮᱱᱫᱚ ᱥᱩᱲᱤ ᱠᱟᱱᱟ ᱾
गाय पढ़ रहा है।	ᱜᱳᱭ ᱫᱚ ᱯᱟᱲᱦᱟᱣᱚᱜ ᱠᱟᱱᱟ ᱾
गाय गा रहा है।	ᱜᱳᱭ ᱫᱚ ᱥᱮᱨᱮᱧ ᱟᱠᱟᱫᱟᱭ ᱾
कुत्ता दौड़ रहा है।	ᱜᱳᱲᱤᱭᱟᱹ ᱫᱚ ᱪᱟᱞᱟᱣᱚᱜ ᱠᱟᱱᱟ ᱾
कुत्ता खा रहा है।	ᱜᱳᱲᱤᱭᱟᱹ ᱫᱚ ᱠᱷᱟᱱ ᱠᱟᱱᱟ ᱾
कुत्ता सो रहा है।	ᱜᱳᱲᱤᱭᱟᱹ ᱫᱚ ᱥᱩᱲᱤ ᱠᱟᱱᱟ ᱾
कुत्ता पढ़ रहा है।	ᱜᱳᱲᱤᱭᱟᱹ ᱫᱚ ᱯᱟᱲᱦᱟᱣ ᱟᱠᱟᱫᱟᱭ ᱾
कुत्ता गा रहा है।	ᱜᱳᱲᱤᱭᱟᱹ ᱫᱚ ᱥᱮᱨᱮᱧ ᱟᱠᱟᱫᱟᱭ ᱾
बिल्ली दौड़ रहा है।	ᱵᱳᱭᱥ ᱫᱚ ᱪᱟᱞᱟᱣᱚᱜ ᱠᱟᱱᱟ ᱾
बिल्ली खा रहा है।	ᱵᱳᱭᱥ ᱫᱚ ᱠᱷᱟᱱ ᱠᱟᱱᱟ ᱾
बिल्ली सो रहा है।	ᱵᱳᱭᱥ ᱫᱚ ᱥᱩᱲᱤ ᱠᱟᱱᱟ ᱾
बिल्ली पढ़ रहा है।	ᱵᱳᱭᱥ ᱫᱚ ᱯᱟᱲᱦᱟᱣᱚᱜ ᱠᱟᱱᱟ ᱾
बिल्ली गा रहा है।	ᱵᱳᱭᱥ ᱫᱚ ᱥᱮᱨᱮᱧ ᱟᱠᱟᱫᱟᱭ ᱾
हाथी दौड़ रहा है।	ᱦᱟᱹᱱᱛᱤ ᱫᱚ ᱪᱟᱞᱟᱣᱚᱜ ᱠᱟᱱᱟ ᱾
हाथी खा रहा है।	ᱦᱟᱹᱱᱛᱤ ᱫᱚ ᱠᱷᱟᱱ ᱠᱟᱱᱟ ᱾
हाथी सो रहा है।	ᱦᱟᱹᱱᱛᱤ ᱫᱚ ᱥᱩᱲᱤ ᱠᱟᱱᱟ ᱾
हाथी पढ़ रहा है।	ᱦᱟᱹᱱᱛᱤ ᱫᱚ ᱯᱟᱲᱦᱟᱣ ᱟᱠᱟᱫᱟᱭ ᱾
हाथी गा रहा है।	ᱦᱟᱹᱱᱛᱤ ᱫᱚ ᱥᱮᱨᱮᱧ ᱟᱠᱟᱫᱟᱭ ᱾
घोड़ा दौड़ रहा है।	ᱜᱳᱲᱟ ᱫᱚ ᱪᱟᱞᱟᱣᱚᱜ ᱠᱟᱱᱟ ᱾
घोड़ा खा रहा है।	ᱜᱳᱲᱟ ᱫᱚ ᱠᱷᱟᱱ ᱠᱟᱱᱟ ᱾
घोड़ा सो रहा है।	ᱜᱳᱲᱟ ᱫᱚ ᱥᱩᱲᱤ ᱠᱟᱱᱟ ᱾
घोड़ा पढ़ रहा है।	ᱜᱳᱲᱟ ᱫᱚ ᱯᱟᱲᱦᱟᱣ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱾
घोड़ा गा रहा है।	ᱜᱳᱲᱟ ᱫᱚ ᱥᱮᱨᱮᱧ ᱟᱠᱟᱫᱟᱭ ᱾
बंदर दौड़ रहा है।	ᱢᱟᱱᱠᱨᱤ ᱫᱚ ᱪᱟᱞᱟᱣᱚᱜ ᱠᱟᱱᱟ ᱾
