मेज़ पर तीस सात चाँद हैं।	ᱴᱮᱵᱩᱞ ᱨᱮ ᱯᱮ ᱜᱮᱞ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱪᱟᱸᱫᱚ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।	hi2sat_f1=0.44(model:ᱴᱮᱵᱤᱞ ᱨᱮ ᱯᱮ ᱥᱟᱭ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱪᱚᱱᱫᱨ ᱢᱮᱱᱟᱜᱼᱟ ᱾); sat2hi_f1=0.50(model:टेबल पर साढ़े सात महीने हैं।)
मेरे पास एक अक्षर हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱢᱤᱫ ᱜᱚᱴᱟᱝ ᱚᱠᱷᱚᱨ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।	hi2sat_f1=0.46(model:ᱤᱧ ᱴᱷᱮᱱ ᱢᱤᱫᱴᱟᱝ ᱮᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾)
मेज़ पर सत्रह स्कूल हैं।	ᱴᱮᱵᱩᱞ ᱨᱮ ᱜᱮᱞ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱥᱠᱩᱞ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।	hi2sat_f1=0.40(model:ᱴᱮᱵᱤᱞ ᱨᱮ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱵᱤᱨᱫᱟᱹᱜᱟᱲ ᱢᱮᱱᱟᱜᱼᱟ ᱾); sat2hi_f1=0.55(model:टेबल पर ग्यारह सात स्कूल हैं।)
यह पीला केला है।	ᱱᱚᱣᱟ ᱫᱚ ᱯᱤᱞ ᱠᱮᱞᱟ ᱠᱟᱱᱟ।	hi2sat_f1=0.17(model:ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱡᱚᱞᱟ ᱠᱟᱞ ᱠᱟᱱᱟ ᱾); sat2hi_f1=0.50(model:यह पिल काला है।)
मेरे पास तीस दो चिड़िया हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱮ ᱜᱮᱞ ᱵᱟᱨ ᱜᱚᱴᱟᱝ ᱪᱤᱲᱤᱡ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।	hi2sat_f1=0.56(model:ᱤᱧ ᱴᱷᱮᱱ ᱯᱮ ᱵᱟᱨ ᱜᱚᱴᱟᱝ ᱜᱳᱲᱤᱭᱟᱹ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ ᱾); sat2hi_f1=0.55(model:मेरे पास बारह मिनट हैं।)
विद्यालय में सौ ब्लैकबोर्ड हैं।	ᱵᱤᱨᱫᱟᱹᱜᱲ ᱨᱮ ᱢᱤᱫ ᱥᱟᱭ ᱜᱚᱴᱟᱝ ᱵᱞᱟᱠᱵᱚᱨᱰ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।	hi2sat_f1=0.40(model:ᱵᱤᱨᱫᱟᱹᱜᱟᱲ ᱨᱮ ᱥᱟᱭ ᱜᱚᱴᱟᱝ ᱵᱞᱟᱠᱵᱳᱨᱰ ᱢᱮᱱᱟᱜᱼᱟ ᱾); sat2hi_f1=0.55(model:लद्दाख में एक सौ ब्लैकबर्ड हैं।)
विद्यालय में बीस चार नारियल हैं।	ᱵᱤᱨᱫᱟᱹᱜᱲ ᱨᱮ ᱠᱩᱲᱤ ᱯᱩᱱ ᱜᱚᱴᱟᱝ ᱱᱟᱨᱤᱭᱟᱞ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।	hi2sat_f1=0.27(model:ᱵᱤᱨᱫᱟᱹᱜᱟᱲ ᱨᱮ ᱵᱟᱨᱼᱵᱟᱨ ᱜᱚᱴᱟᱝ ᱱᱟᱨᱠᱮᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾); sat2hi_f1=0.50(model:चंडीगढ़ में चार नारी नारियल्स हैं।)
मेज़ पर चालीस नौ बकरी हैं।	ᱴᱮᱵᱩᱞ ᱨᱮ ᱯᱩᱱ ᱜᱮᱞ ᱟᱨᱮ ᱜᱚᱴᱟᱝ ᱵᱚᱠᱨᱟ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।	hi2sat_f1=0.35(model:ᱴᱮᱵᱤᱞ ᱨᱮ ᱜᱮᱞ ᱯᱮ ᱜᱚᱴᱟᱝ ᱜᱳᱲᱟᱹᱜ ᱢᱮᱱᱟᱜᱼᱟ ᱾); sat2hi_f1=0.50(model:टेबल पर चार नौ बकरियाँ हैं।)
मेरे पास पंद्रह लड़की हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱠᱩᱲᱤ ᱜᱤᱫᱽᱨᱟᱹ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।	hi2sat_f1=0.47(model:ᱤᱧᱟᱹᱜ ᱜᱮᱞ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱠᱩᱲᱤ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ ᱾)
यह पीला मछली है।	ᱱᱚᱣᱟ ᱫᱚ ᱯᱤᱞ ᱢᱟᱪᱷᱤ ᱠᱟᱱᱟ।	hi2sat_f1=0.18(model:ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱡᱚᱞᱟ ᱢᱤᱥ ᱾); sat2hi_f1=0.67(model:यह एक पिल मछली है।)
मेज़ पर उन्नीस कॉफ़ी हैं।	ᱴᱮᱵᱩᱞ ᱨᱮ ᱜᱮᱞ ᱟᱨᱮ ᱜᱚᱴᱟᱝ ᱠᱚᱯᱷᱤ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।	hi2sat_f1=0.50(model:ᱴᱮᱵᱤᱞ ᱨᱮ ᱜᱮᱞ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱠᱚᱯᱷᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱾); sat2hi_f1=0.40(model:टेबल पर ग्यारह कॉफी हैं।)
मेरे पास दो पानी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱵᱟᱨ ᱜᱚᱴᱟᱝ ᱫᱟᱜ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।	hi2sat_f1=0.62(model:ᱤᱧ ᱴᱷᱮᱱ ᱵᱟᱨᱭᱟ ᱫᱟᱜ ᱢᱮᱱᱟᱜᱼᱟ ᱾)
विद्यालय में चालीस छः किताब हैं।	ᱵᱤᱨᱫᱟᱹᱜᱲ ᱨᱮ ᱯᱩᱱ ᱜᱮᱞ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱯᱚᱛᱚᱢ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।	hi2sat_f1=0.42(model:ᱵᱤᱨᱫᱟᱹᱜᱟᱲ ᱨᱮ ᱜᱮᱞ ᱯᱮ ᱜᱚᱴᱟᱝ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱯᱚᱛᱚᱵ ᱢᱮᱱᱟᱜᱼᱟ ᱾); sat2hi_f1=0.18(model:चार हजार छह पत्थर हैं।)
मेज़ पर चालीस छः दोस्त हैं।	ᱴᱮᱵᱩᱞ ᱨᱮ ᱯᱩᱱ ᱜᱮᱞ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱜᱟᱛᱮ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।	hi2sat_f1=0.59(model:ᱴᱮᱵᱤᱞ ᱨᱮ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱜᱟᱛᱮ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ ᱾); sat2hi_f1=0.46(model:टेबल पर चार सौ सोलह दोस्त हैं।)
विद्यालय में नब्बे बिल्ली हैं।	ᱵᱤᱨᱫᱟᱹᱜᱲ ᱨᱮ ᱟᱨᱮ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱵᱤᱲᱤ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।	hi2sat_f1=0.27(model:ᱵᱤᱨᱫᱟᱹᱜᱟᱲ ᱨᱮ ᱱᱟᱹᱵᱤ ᱜᱚᱴᱟᱝ ᱵᱳᱭᱥ ᱢᱮᱱᱟᱜᱼᱟ ᱾); sat2hi_f1=0.36(model:चंडीगढ़ में नौ दस बिल्लियाँ हैं।)
मेरे पास तीस पाँच लड़की हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱮ ᱜᱮᱞ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱠᱩᱲᱤ ᱜᱤᱫᱽᱨᱟᱹ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।	hi2sat_f1=0.44(model:ᱤᱧᱟᱹᱜ ᱯᱮ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱠᱩᱲᱤ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ ᱾); sat2hi_f1=0.50(model:मेरे पास साढ़े तीन लड़कियाँ हैं।)
विद्यालय में बारह सब्ज़ी हैं।	ᱵᱤᱨᱫᱟᱹᱜᱲ ᱨᱮ ᱜᱮᱞ ᱵᱟᱨ ᱜᱚᱴᱟᱝ ᱥᱚᱵᱽᱡᱤ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।	hi2sat_f1=0.40(model:ᱵᱤᱨᱫᱟᱹᱜᱟᱲ ᱨᱮ ᱵᱟᱨ ᱜᱚᱴᱟᱝ ᱥᱟᱡᱚᱠ ᱢᱮᱱᱟᱜᱼᱟ ᱾); sat2hi_f1=0.60(model:लद्दाख में बारह उपवन हैं।)
मेरे पास तीस बकरी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱮ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱵᱚᱠᱨᱟ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।	hi2sat_f1=0.67(model:ᱤᱧ ᱴᱷᱮᱱ ᱯᱮ ᱜᱚᱴᱟᱝ ᱵᱟᱠᱩ ᱢᱮᱱᱟᱜᱼᱟ ᱾)
मेरे पास बीस मछली हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱠᱩᱲᱤ ᱜᱚᱴᱟᱝ ᱢᱟᱪᱷᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।	hi2sat_f1=0.57(model:ᱤᱧ ᱴᱷᱮᱱ ᱵᱟᱨ ᱜᱚᱴᱟᱝ ᱢᱤᱥ ᱢᱮᱱᱟᱜᱼᱟ ᱾); sat2hi_f1=0.55(model:मेरे पास लड़कियों की मछलियाँ हैं।)
मेरे पास सौ बंदर हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱢᱤᱫ ᱥᱟᱭ ᱜᱚᱴᱟᱝ ᱵᱟᱸᱫᱚᱨ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।	hi2sat_f1=0.67(model:ᱤᱧ ᱴᱷᱮᱱ ᱥᱟᱭ ᱜᱚᱴᱟᱝ ᱢᱟᱱᱠᱨᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱾)
विद्यालय में तेरह हाथी हैं।	ᱵᱤᱨᱫᱟᱹᱜᱲ ᱨᱮ ᱜᱮᱞ ᱯᱮ ᱜᱚᱴᱟᱝ ᱦᱟᱛᱤ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।	hi2sat_f1=0.50(model:ᱵᱤᱨᱫᱟᱹᱜᱟᱲ ᱨᱮ ᱜᱮᱞ ᱯᱮ ᱜᱚᱴᱟᱝ ᱦᱟᱹᱱᱛᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱾)
मेरे पास तीस नौ पेंसिल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱮ ᱜᱮᱞ ᱟᱨᱮ ᱜᱚᱴᱟᱝ ᱯᱮᱱᱥᱤᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।	hi2sat_f1=0.50(model:ᱤᱧ ᱴᱷᱮᱱ ᱯᱮᱹᱥᱤ ᱱᱟᱹ ᱯᱮᱱᱥᱤᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾)
मेरे पास सत्रह मछली हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱢᱟᱪᱷᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।	hi2sat_f1=0.67(model:ᱤᱧ ᱴᱷᱮᱱ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱢᱤᱥ ᱢᱮᱱᱟᱜᱼᱟ ᱾); sat2hi_f1=0.55(model:मेरे पास दस सात मक्खियाँ हैं।)
मेज़ पर एक पेंसिल हैं।	ᱴᱮᱵᱩᱞ ᱨᱮ ᱢᱤᱫ ᱜᱚᱴᱟᱝ ᱯᱮᱱᱥᱤᱞ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।	hi2sat_f1=0.31(model:ᱴᱮᱵᱤᱞ ᱨᱮ ᱢᱤᱫᱴᱟᱝ ᱯᱮᱱᱥᱤᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾); sat2hi_f1=0.60(model:टेबल पर एक पेंसिल है।)
यह छोटा काग़ज़ है।	ᱱᱚᱣᱟ ᱫᱚ ᱦᱩᱰᱤᱧ ᱠᱟᱜᱚᱡᱽ ᱠᱟᱱᱟ।	hi2sat_f1=0.36(model:ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱦᱩᱰᱤᱧ ᱠᱟᱯᱟᱨ ᱾)
यह एक किताब है।	ᱱᱚᱣᱟ ᱫᱚ ᱢᱤᱫ ᱯᱚᱛᱚᱢ ᱠᱟᱱᱟ।	hi2sat_f1=0.20(model:ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱯᱚᱛᱚᱵ ᱾)
विद्यालय में तीन घोड़ा हैं।	ᱵᱤᱨᱫᱟᱹᱜᱲ ᱨᱮ ᱯᱮ ᱜᱚᱴᱟᱝ ᱜᱷᱚᱲᱟ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।	hi2sat_f1=0.15(model:ᱵᱤᱨᱫᱟᱹᱜᱟᱲ ᱨᱮ ᱯᱮᱭᱟ ᱜᱳᱲᱟ ᱢᱮᱱᱟᱜᱼᱟ ᱾); sat2hi_f1=0.60(model:गढ़ में तीन घोड़े हैं।)
मेज़ पर चालीस तीन भाई हैं।	ᱴᱮᱵᱩᱞ ᱨᱮ ᱯᱩᱱ ᱜᱮᱞ ᱯᱮ ᱜᱚᱴᱟᱝ ᱵᱟᱭ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।	hi2sat_f1=0.47(model:ᱴᱮᱵᱤᱞ ᱨᱮ ᱯᱮ ᱜᱚᱴᱟᱝ ᱵᱚᱭᱦᱟ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ ᱾); sat2hi_f1=0.18(model:तालिका में चौदह नहीं हैं।)
मेज़ पर चार माँ हैं।	ᱴᱮᱵᱩᱞ ᱨᱮ ᱯᱩᱱ ᱜᱚᱴᱟᱝ ᱟᱫᱟᱢ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।	hi2sat_f1=0.29(model:ᱴᱮᱵᱤᱞ ᱨᱮ ᱯᱳᱱ ᱟᱭᱳ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ ᱾); sat2hi_f1=0.60(model:टेबल पर चार आदम हैं।)
मेज़ पर चालीस सात पानी हैं।	ᱴᱮᱵᱩᱞ ᱨᱮ ᱯᱩᱱ ᱜᱮᱞ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱫᱟᱜ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।	hi2sat_f1=0.47(model:ᱴᱮᱵᱤᱞ ᱨᱮ ᱜᱮᱞ ᱯᱮ ᱜᱚᱴᱟᱝ ᱫᱟᱜ ᱢᱮᱱᱟᱜᱼᱟ ᱾); sat2hi_f1=0.55(model:टेबल पर चार-सात पानी हैं।)
मेज़ पर सत्तर चावल हैं।	ᱴᱮᱵᱩᱞ ᱨᱮ ᱮᱭᱟᱭ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱪᱟᱣᱞ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।	hi2sat_f1=0.40(model:ᱴᱮᱵᱤᱞ ᱨᱮ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ꯆꯦꯡ ᱢᱮᱱᱟᱜᱼᱟ ᱾); sat2hi_f1=0.36(model:तालिका में सात सौ चावल हैं।)
यह एक बाज़ार है।	ᱱᱚᱣᱟ ᱫᱚ ᱢᱤᱫ ᱵᱟᱡᱟᱨ ᱠᱟᱱᱟ।	hi2sat_f1=0.40(model:ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱵᱟᱡᱟᱨ ᱾)
मेरे पास बीस चार गाय हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱠᱩᱲᱤ ᱯᱩᱱ ᱜᱚᱴᱟᱝ ᱜᱟᱭ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।	hi2sat_f1=0.33(model:ᱤᱧ ᱴᱷᱮᱱ ᱵᱟᱨ ᱥᱟᱭ ᱯᱳᱱ ᱜᱚᱴᱟᱝ ᱜᱳᱭ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ ᱾)
मेज़ पर नौ शिक्षक हैं।	ᱴᱮᱵᱩᱞ ᱨᱮ ᱟᱨᱮ ᱜᱚᱴᱟᱝ ᱥᱟᱦᱟᱸ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।	hi2sat_f1=0.40(model:ᱴᱮᱵᱤᱞ ᱨᱮ 9 ᱜᱚᱴᱟᱝ ᱥᱮᱪᱮᱫᱤᱭᱟᱹ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ ᱾); sat2hi_f1=0.60(model:टेबल पर नौ शहंशाह हैं।)
मेज़ पर चालीस एक चाय हैं।	ᱴᱮᱵᱩᱞ ᱨᱮ ᱯᱩᱱ ᱜᱮᱞ ᱢᱤᱫ ᱜᱚᱴᱟᱝ ᱪᱟ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।	hi2sat_f1=0.12(model:ᱴᱮᱵᱤᱞ ᱨᱮ40 ᱜᱚᱴᱟᱝ ᱢᱤᱫᱴᱟᱝ ᱪᱚᱭ ᱢᱮᱱᱟᱜᱼᱟ ᱾); sat2hi_f1=0.50(model:टेबल पर चार हजार चाय हैं।)
मेरे पास सोलह स्कूल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱥᱠᱩᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।	hi2sat_f1=0.43(model:ᱤᱧᱟᱹᱜ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱵᱤᱨᱫᱟᱹᱜᱟᱲ ᱢᱮᱱᱟᱜᱼᱟ ᱾)
विद्यालय में बीस अमरूद हैं।	ᱵᱤᱨᱫᱟᱹᱜᱲ ᱨᱮ ᱠᱩᱲᱤ ᱜᱚᱴᱟᱝ ᱟᱢᱨᱩᱫ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।	hi2sat_f1=0.14(model:ᱵᱤᱨᱫᱟᱹᱜᱟᱲ ᱨᱮ ᱵᱟᱨ ᱥᱟᱭ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾); sat2hi_f1=0.20(model:लड़की आमरूद के घर हैं।)
विद्यालय में बीस नौ केला हैं।	ᱵᱤᱨᱫᱟᱹᱜᱲ ᱨᱮ ᱠᱩᱲᱤ ᱟᱨᱮ ᱜᱚᱴᱟᱝ ᱠᱮᱞᱟ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ।	hi2sat_f1=0.27(model:ᱵᱤᱨᱫᱟᱹᱜᱟᱲ ᱨᱮ ᱵᱟᱨᱼ9 ᱜᱚᱴᱟᱝ ᱠᱟᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾); sat2hi_f1=0.31(model:चंडीगढ़ में नौ लड़कियों की बस्ती है।)
मेरे पास पचास पानी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱢᱚᱬᱮ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱫᱟᱜ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।	sat2hi_f1=0.55(model:मेरे पास पाँच हजार पानी है।)
मेरे पास तीस नौ गाय हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱮ ᱜᱮᱞ ᱟᱨᱮ ᱜᱚᱴᱟᱝ ᱜᱟᱭ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।	hi2sat_f1=0.56(model:ᱤᱧ ᱴᱷᱮᱱ ᱯᱮ ᱜᱚᱴᱟᱝ ᱱᱟᱹ ᱜᱚᱴᱟᱝ ᱜᱳ ᱢᱮᱱᱟᱜᱼᱟ ᱾); sat2hi_f1=0.67(model:मेरे पास तीन नौ गायें हैं।)
यह लाल पिता है।	ᱱᱚᱣᱟ ᱫᱚ ᱞᱟᱞ ᱟᱯᱟᱛ ᱠᱟᱱᱟ।	hi2sat_f1=0.18(model:ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱨᱮᱞᱰ ᱵᱟᱵᱟ ᱾)
